optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,couplinggain,wswing,wstance,FFAST,STOPGAIN,hipamplitude,kneeamplitude,b
BO,14,1,0.9224056618886995,1.6457364161721526,5.588406389971535,0.18385284377710312,1.3560552354993918,0,6.469692057648325,3.0351304148572535,5.713571447492912,0.0,0.19103789329528809,0.19103789329528809,10.647866551112891,15.414200002513848,20.541089583730823,55.1041575328408,0.33859286635467406,0.23709080220332845,0.8811567112655967,7.1915123881364
BO,14,2,0.06487682217039581,1.262358822862894,6.732623108081821,0.5328771869931846,1.5097580570841138,0,5.518419734744128,3.0481794272304814,4.600169404296141,0.0,0.18297457695007324,0.18297457695007324,7.737350031286816,18.586884072739707,21.194835401369673,27.22473716987189,0.3410942192189933,0.28401428572393606,0.6993794225639707,5.121107050189022
BO,14,3,0.66349250297805,1.3608485784714233,3.2805341823657415,0.2136340820074334,1.5440330498501942,1,30.495159759585427,5.026592803080352,30.0780340706413,0.0,0.10800743103027344,0.10800743103027344,5.829765022108992,19.752912712707833,24.5692639630101,35.454957965363846,0.2582738551779951,0.3229034750059527,0.7757004386487519,4.2725009271150345
BO,14,4,-0.8057697051837499,19.522171669799885,1.4571912558193807,0.5516471457879183,0.04887173041009899,1,35.761804350329925,9.321960847444261,34.525464462480336,0.0,0.12103390693664551,0.12103390693664551,9.346325966405859,10.46230347104699,12.306946268288694,55.496318452276235,0.12120792984428878,0.10736670970523138,0.9631977686511695,7.552572065188279
BO,14,5,1.0752719727361644,1.8111090494257716,4.436879899539227,0.20593214474742744,1.071637192590939,0,1.8981247340392273,0.8280333879394448,1.7079924515140612,0.0,0.17800426483154297,0.17800426483154297,11.819445827611094,21.395784279826053,23.842125638331385,37.0544705642053,0.3895846795457862,0.1411020952480232,0.911945055833563,7.3498890788695395
BO,14,6,1.3119221835879418,1.733042117007317,5.752371409511525,0.3823965890877519,1.3342737144558157,0,5.033789566834559,1.829058774231229,4.689731485232413,0.6865205764770508,0.184037446975708,0.8705580234527588,11.579752162608244,20.01144413187037,24.990698674518477,49.66943324006141,0.39148875685168477,0.20411547657540638,0.9306348659897294,7.306380230347954
BO,14,7,-0.13328719488641316,2.0381248680430883,4.919056586595682,1.0956894231348275,1.050847581951443,0,7.144071152168599,2.853324578141689,6.549526049953548,0.28898119926452637,0.18103241920471191,0.4700136184692383,12.0,18.26348463269769,22.062462021627866,48.84491302914738,0.4950946342362155,0.1709176268894686,0.8867800635740879,8.628431718639336
BO,14,8,0.8908353051694565,1.765470598930296,5.810312329520102,0.34341367970659314,1.3505938531544877,0,3.611031482711137,1.7071039697281742,3.182034633009091,0.16097044944763184,0.18104076385498047,0.3420112133026123,10.996897517859423,20.403998519267795,24.807788036404837,45.01332901902738,0.29124198811524454,0.20180592034029268,0.9369897791375084,6.320377110397145
BO,14,9,0.20324312908492592,2.0853908796998053,6.187490463949158,0.29614620401185393,1.4025645874882409,0,4.28716435517694,2.1435184549984796,3.7128300313077403,0.2399766445159912,0.18003582954406738,0.4200124740600586,12.0,24.816030476494607,25.0,45.63378325475508,0.38938416656551705,0.20610805459837295,0.9846749970094122,6.626739121675021
BO,14,10,2.6138179998300104,1.8013338218443318,5.272492430678945,0.043998107100277156,1.1634780693616278,0,1.6714377380853642,0.7704716505722032,1.4832658386009108,0.3239786624908447,0.18703603744506836,0.5110146999359131,12.0,17.30766836376204,25.0,47.607216464323336,0.3508826244186704,0.17599448728961242,0.8744247690319321,5.877012062374605
