optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,couplinggain,wswing,wstance,FFAST,STOPGAIN,hipamplitude,kneeamplitude,b
MARXEFE,19,1,-0.5318688655177723,3.2632965740535127,2.2781244061681827,0.7272649097451872,0.692230264560312,1,25.41602266932114,10.159234538375136,23.297299455553464,0.0,1.4509100914001465,1.4509100914001465,7.9842109480563055,17.23415961371763,17.233875428928375,41.215163341215614,0.2750006715074896,0.22500280541376344,0.750003769635269,5.415447135433079
MARXEFE,19,2,-0.5346241257255842,1.8973006475040517,2.7567773813083987,0.9517685157916471,0.8493213920337813,1,26.069212566939523,7.781998005644066,24.88060189988235,0.0,2.4066803455352783,2.4066803455352783,8.1831597547143,17.24285887493395,16.97237280291069,41.673340345097486,0.2748939534443283,0.22496166601676373,0.7496469251933138,5.0349332366421455
MARXEFE,19,3,-0.13920365203563825,1.4245790347542309,5.006624489568559,1.8333031493275076,1.1652744780908193,0,6.390451181178088,2.645957297552127,5.816938737734056,0.0,3.21494722366333,3.21494722366333,8.089160108769098,17.484983877760314,17.747793517174678,40.04043648452423,0.2746657819668295,0.22488255039251828,0.7489071792094917,4.895700811256432
MARXEFE,19,4,-0.13597571658879412,1.589572187197108,4.490422757430335,0.7493733893486219,1.0024969864753954,0,6.325238010548507,3.0296185799998296,5.5524811705945885,0.0,3.180192708969116,3.180192708969116,7.791105777389235,18.62624842183299,16.702102550974306,40.56208106206057,0.27510704324682383,0.22501217590946085,0.7499665685366482,5.043504962834626
MARXEFE,19,5,-0.13037631753347556,1.4930237990860258,4.629770639615334,0.9990197585903772,1.0598232683061883,0,5.92680990449123,3.124681335320665,5.036213080944254,0.0,3.3782799243927,3.3782799243927,8.689675352719416,17.453617506278142,16.742531990526878,39.84691538642361,0.2737882302567402,0.22488400468795175,0.7476285826913166,5.204103763506253
MARXEFE,19,6,-0.127284761721613,1.4020943751463188,5.013850324820126,1.0949285901476131,1.1628702292673152,0,5.9106674499586465,2.754002837694905,5.229862146746227,0.0,3.407618284225464,3.407618284225464,8.164431875089901,17.42660450986651,17.04706290561541,42.386465274034435,0.2756386441172207,0.22513229735735485,0.7508572603523038,4.105467313270114
MARXEFE,19,7,-0.5862447186072719,1.4321595641250988,2.381633373766877,0.5678869752934834,0.9863513703200819,1,29.829236512279063,6.539533371869588,29.103571158599873,0.0,2.009002208709717,2.009002208709717,8.016132117341957,17.632133573171576,18.412743899134078,38.80355481871857,0.2753610328955082,0.2250305347733319,0.748715471691799,4.6836122966347755
MARXEFE,19,8,-0.10653685471280261,1.2894701136772149,5.272298943867258,1.1009014877200485,1.2250869415460688,0,4.8755044854974345,2.377401052666478,4.2565841026445055,0.0,3.2959988117218018,3.2959988117218018,7.731088696264605,16.680754471110834,17.08023901918601,40.606680859360424,0.2827405834252228,0.22581943422917658,0.7885014273858573,5.109326045629438
MARXEFE,19,9,-0.08005673426782996,1.2070485862002296,5.4025501350615714,2.2595669197824693,1.2760060078812552,0,3.5200478143388034,1.6489213877150304,3.109950943723603,0.0,3.130164861679077,3.130164861679077,7.754364912411058,16.838321665951938,18.049835100418445,42.745536985202534,0.27441586701388304,0.22451503679127466,0.731959354224023,5.470059316891985
MARXEFE,19,10,-0.11298932244602354,1.4975820766158932,4.7530105151721855,2.1621879419635577,1.1109031143010173,0,5.054891779742014,2.5314131314622808,4.3753718085168165,0.0,3.1798417568206787,3.1798417568206787,7.940271817712802,17.47256925965246,17.493202049198448,41.50605145380462,0.23417667216453059,0.2246484696566552,0.7616017605750302,5.011432447612061
MARXEFE,19,11,-0.15681298081149883,1.3930699393722208,5.052659463272629,1.2550742764103746,1.1372943496169923,0,7.2917114746189755,3.230661060370065,6.536963006021879,0.0,3.1562628746032715,3.1562628746032715,7.440823926248626,18.35727854770953,17.138105068795557,41.35118926298941,0.2794120766903214,0.22486561321896523,0.7484477672372105,5.13092954874491
MARXEFE,19,12,-0.1550236025285636,1.4189536653168366,4.762449415797161,0.7707037855829668,1.1366162796082657,0,7.418331238856025,3.5265539689611223,6.526488755325617,0.0,3.1944923400878906,3.1944923400878906,7.747663142084822,17.373643857703488,17.431216249811065,42.52853708819231,0.27787364149030747,0.22519248878004006,0.7533495097874259,4.269476958486346
MARXEFE,19,13,-0.742256871733426,1.732374758587729,1.7791051249785566,0.010459404032708619,0.9215804315660379,1,42.938575303089486,8.921601915955447,42.001503167295176,0.0,1.8547754287719727,1.8547754287719727,7.982913620603113,17.72414731832162,17.491138975942143,39.133307403830834,0.2714252314910946,0.22497019760248532,0.7527618322640982,5.603062623030113
MARXEFE,19,14,-0.11861035694202718,1.3542099083590653,5.237346897543518,1.4560201264712471,1.212908541860967,0,5.393629317877109,2.415529185828172,4.822494787044956,0.0,3.2322235107421875,3.2322235107421875,8.10576474112288,17.332027895311832,16.32340568068479,42.60285521069816,0.27449815658800014,0.2251336058365208,0.7503398397717712,5.363591013113606
MARXEFE,19,15,-0.09083472283151829,1.1474422986492356,5.7449179801542165,1.0263653917642237,1.3668999309990395,0,4.095425951804925,1.8847469150622114,3.6359651803724353,0.0,3.208124876022339,3.208124876022339,8.431155650389739,17.409416154829522,17.235295874689957,42.09828877794399,0.27614055702472723,0.22418218402317006,0.7219500430409427,5.127729654236605
MARXEFE,19,16,-0.14190680555164725,1.6114691104137142,4.375212706453253,1.9156538731117418,1.016164376299863,0,6.451266237842865,3.1875284825272607,5.608787591325659,0.0,3.1755504608154297,3.1755504608154297,8.020183102511727,16.429418816075568,17.917449103025913,40.925665499427254,0.2943214740481149,0.22563496918380388,0.7514912455888543,5.1013649840558095
MARXEFE,19,17,-0.44961354393303105,1.2452962776601808,3.7079090995147213,0.6186798353090565,1.1606139056995348,1,22.28129755444709,4.516553587102021,21.81872966981913,0.0,2.529222249984741,2.529222249984741,7.943959724285086,18.35920365961437,17.625267988279834,40.74525090992638,0.27845642619699484,0.22433107628777887,0.7273186753341209,4.91024539321811
MARXEFE,19,18,-0.1208951263593067,1.3773838692288645,4.998176434145204,0.6847007613588825,1.1776777968890644,0,5.504069663523357,2.6455587792670148,4.826572449094837,0.0,3.2475860118865967,3.2475860118865967,7.640986191306462,17.41384136668331,17.921450119471686,42.26314743477148,0.26822826242125314,0.22473189672811852,0.7335292328771643,5.365587889482566
MARXEFE,19,19,-0.14417475130576626,1.4701714299154809,4.53654522703653,1.795152399612008,1.0922530419461076,0,6.621265441189386,3.0554218810723617,5.874142760552649,0.0,3.273237466812134,3.273237466812134,8.195819575262359,17.188991347455893,17.944364903901743,41.06018093745421,0.24596780420622516,0.2248405648036098,0.7468044632775837,4.9462983033367305
MARXEFE,19,20,-0.09072246094549051,1.3355822709692018,5.1421917448764205,2.623108150385038,1.1750654969931666,0,4.001905223182832,1.8483935922174994,3.5494628528253855,0.0,3.228440999984741,3.228440999984741,8.361199171250464,17.33868456465924,17.840429739070494,40.77900322964812,0.2663880694309145,0.22299442744087103,0.7410960599243129,4.642389150559174
