optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,couplinggain,wswing,wstance,FFAST,STOPGAIN,hipamplitude,kneeamplitude,b
MARXEFE,0,1,-0.28250221356643945,1.7257918800723122,4.536298415805598,0.7220704115330745,0.9928684416183753,0,12.74720774852406,9.101163305756483,8.925252481918006,0.0,4.258942127227783,4.258942127227783,5.807599544141194,12.675423859366381,12.833756624633574,31.09259827113541,0.2783480269349455,0.22795062815259354,0.7321472590966629,3.767749115730984
MARXEFE,0,2,-0.2731384672675617,1.881795736568643,4.538171525241452,0.2266664182837567,0.980999369447137,0,12.864731328396712,10.76693454563523,7.040911350232901,0.0,15.525553226470947,15.525553226470947,6.186669108506142,14.86696942830848,14.749955213068061,25.0,0.2759952193204749,0.24854274346376506,0.7725947102062168,4.730585728712496
MARXEFE,0,3,-0.22585329866223522,2.7473067345075286,3.1244731872301914,2.3802004497365687,0.5065078055760283,0,11.227947227977799,4.855056657658705,10.123992483461167,0.0,10.297142267227173,10.297142267227173,6.5875432476558515,10.715040677060335,17.494504543236918,25.0,0.2836225029069212,0.1,0.8022275296435208,1.5954726013016596
MARXEFE,0,4,-0.7712029149739119,8.785998319593427,1.9243041716940794,1.0267303982351836,0.18256824594986337,1,34.10565660200098,20.877756370666052,26.96878012036744,0.0,6.768154859542847,6.768154859542847,4.932234254826228,14.446000389035047,10.0,25.132339361240934,0.49438562419669213,0.11987337589097051,0.7057175898052093,4.730611977987316
MARXEFE,0,5,-0.43859005838540727,3.6036170610943508,3.194860650538346,2.9804178759544864,0.5112962265681351,0,19.04677320343479,12.811947727326658,14.09374204728222,0.0,5.295238733291626,5.295238733291626,8.504697240974961,15.017594932796255,17.135974993967686,25.0,0.27367394847901866,0.2808785575825583,0.7908916142341382,0.5818809154092857
MARXEFE,0,6,-1.3383848363680573,37.290191525709396,1.5526575410474412,0.49430196700692003,0.03727204645893101,1,41.96353796304431,11.001181571510983,40.495833395628594,0.0,3.375673294067383,3.375673294067383,8.495016100366053,10.0,10.147370648201651,25.0,0.2809159576540188,0.24201843057753933,0.7274386411774203,9.77663711154202
MARXEFE,0,7,-0.7633961879333877,4.020842992198391,2.3628608165870926,1.2062234931085378,0.4910448229824543,1,34.98610248347289,9.637651539517211,33.63247002209189,0.0,3.5182571411132812,3.5182571411132812,6.964545293232748,12.564277693981799,13.146938528148638,25.0,0.26895736955645116,0.29380054491429675,0.7892407108067777,1.394705178470799
MARXEFE,0,8,0.1697566558124438,1.9463647771875459,4.016747002564422,0.5875020839690556,0.842319281238973,1,30.200946337790697,14.999918459531813,26.21258487645791,0.0,3.5653326511383057,3.5653326511383057,5.356225398342841,10.0,13.63455314638829,25.000016831235662,0.27876068812148724,0.22917288225227855,0.7924714275250857,4.531671962256936
MARXEFE,0,9,-0.3220573390583747,1.835219069684016,4.541953515983753,1.64890888610624,0.9848725847255193,0,14.775275190991305,7.613165238153315,12.662877715041597,0.0,3.438525438308716,3.438525438308716,7.506826065181596,12.066799107285457,14.006692286086466,25.0,0.26526284419355056,0.23804953783343671,0.866223633250983,4.233917531682521
MARXEFE,0,10,-0.19932623085362994,2.626847360907262,3.359987768069199,2.4378185340245975,0.58805224980423,0,10.143663221625864,4.755741030675086,8.959733857817357,0.0,2.4458160400390625,2.4458160400390625,7.845062815662236,11.931907891146198,14.05963404981198,25.0,0.24984740331837194,0.2109022043935923,0.7232983185837846,4.529471740445037
