optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,gc,gp,omegaswing,omegastance,mu,xofffront,xoffhind,sigmaN
BO_incline15,1,1,-50.0,1000.0,0.0009000414479973281,0.007672415928438821,0.0,1,1000.0,1000.0,1000.0,0.0,0.04637718200683594,0.04637718200683594,8.094572997602054,24.25695544488903,12.162394190794506,58.202730649803534,0.19032415340471848,0.2058316122431439,0.9138512969102208,4.151071450054697
BO_incline15,1,2,-50.0,1000.0,-0.00042932149008926147,0.004751544027990935,0.0,1,1000.0,1000.0,1000.0,0.0,0.05682015419006348,0.05682015419006348,8.396749501384477,10.413386698646026,21.3026966301221,43.83501596267474,0.19837927242459147,0.29710717585710106,0.6515974146458225,4.5896291058584495
BO_incline15,1,3,-50.0,1000.0,0.0006078627428860175,0.004785280384394297,0.0,1,1000.0,1000.0,1000.0,0.0,0.05929923057556152,0.05929923057556152,5.072333577977318,16.046694796706937,13.051828610142245,34.18096691546474,0.38766410268352364,0.17010218949650996,0.7425954872158176,9.809298278032262
BO_incline15,1,4,-50.0,1000.0,0.0005904328086621486,0.004775024296429773,0.0,1,1000.0,1000.0,1000.0,0.0,0.05926322937011719,0.05926322937011719,11.693257549310294,20.871849111603005,18.118402833211512,34.691192141587976,0.1222934039488071,0.3424813533040331,0.7580342927739394,1.2470695634606264
BO_incline15,1,5,-50.0,1000.0,0.0006081255109519982,0.0047661188726872165,0.0,1,1000.0,1000.0,1000.0,0.0,0.04483675956726074,0.04483675956726074,8.987918044300002,21.65024671513447,19.195049515795606,57.105419667681595,0.06781679449889129,0.2321473158150054,0.7296679414427019,0.7172608335837685
BO_incline15,1,6,-50.0,1000.0,0.0005957430653863538,0.004771626655107061,0.0,1,1000.0,1000.0,1000.0,2.112945079803467,0.040715932846069336,2.153661012649536,12.0,25.0,25.0,25.0,0.5,0.1,1.0,0.1
BO_incline15,1,7,-50.0,1000.0,0.0005193236475175448,0.0047450491265165025,0.0,1,1000.0,1000.0,1000.0,1.019723653793335,0.03731846809387207,1.057042121887207,12.0,25.0,25.0,60.0,0.5,0.35,0.5,10.0
BO_incline15,1,8,-50.0,1000.0,0.0006649138732316613,0.004798366422349876,0.0,1,1000.0,1000.0,1000.0,0.7578849792480469,0.0374608039855957,0.7953457832336426,12.0,10.0,10.0,60.0,0.5,0.1,0.5,0.1
BO_incline15,1,9,-50.0,1000.0,0.0006041842344523073,0.004802768879254169,0.0,1,1000.0,1000.0,1000.0,0.8113532066345215,0.04255795478820801,0.8539111614227295,4.0,25.0,10.0,25.0,0.5,0.35,0.5,0.1
BO_incline15,1,10,-50.0,1000.0,0.0006690673279328942,0.004800862993482144,0.0,1,1000.0,1000.0,1000.0,0.8096199035644531,0.07681441307067871,0.8864343166351318,4.0,10.0,25.0,60.0,0.5,0.35,1.0,0.1
BO_incline15,1,11,-50.0,1000.0,0.000560232055366004,0.00475044663296217,0.0,1,1000.0,1000.0,1000.0,0.9077937602996826,0.04631662368774414,0.9541103839874268,4.0,25.0,25.0,60.0,0.05,0.1,0.5,0.1
