method,seed,event,fell,n_win,dur,J,J_pitch,J_roll,J_vy,mean_vx,const,V_old
aif,0,1,1,11,0.11,13.048777822161798,2.038387330012112,12.29915405624596,11.863993912077518,-0.2514331750838585,-1.2887635640962742,-2.0
aif,0,2,1,1000,10.0,-0.9447477267766459,0.058143018478678754,0.2858728188409496,2.7628903860550253,0.20672916653488613,-1.2887635640962742,-2.0
aif,0,3,1,1000,10.0,-0.8693204378738149,0.06583749968797688,0.35360562653448246,1.4026018203401627,-0.48542998625173134,-1.2887635640962742,-2.0
aif,0,4,1,1,0.01,19.97697277274811,2.8609663710309667,18.40476996581342,22.53031719834661,-0.16515591219953205,-1.2887635640962742,-2.0
aif,0,5,1,0,,,,,,,,-2.0
aif,0,6,1,23,0.23,9.327638613506318,2.020953072585748,8.595449105016845,12.292465387900565,-0.4742419730012054,-1.2887635640962742,-2.0
aif,0,7,1,0,,,,,,,,-2.0
aif,0,8,1,43,0.43,5.61103497821852,1.410078277083631,5.4897202652311625,9.05070576060209,-0.28034610441627494,-1.2887635640962742,-2.0
aif,0,9,1,0,,,,,,,,-2.0
aif,0,10,1,0,,,,,,,,-2.0
aif,0,11,1,34,0.34,8.101258906024205,1.8349027393728483,7.555119730747631,10.028618911256114,-0.3943212699996479,-1.2887635640962742,-2.0
aif,0,12,1,0,,,,,,,,-2.0
aif,0,13,1,70,0.7000000000000001,2.968225365219925,0.5241283622863637,3.7328605670298347,9.386917724354678,0.5023383011529939,-1.2887635640962742,-2.0
aif,0,14,1,15,0.15,11.703726099907447,1.9179576019754683,11.074532062028254,11.565363767170613,-0.6963153206598948,-1.2887635640962742,-2.0
aif,0,15,1,831,8.31,-0.7625531486698696,0.08311167838681954,0.4430987370395852,1.8392993837929794,0.25999034068188775,-1.2887635640962742,-2.0
aif,0,16,1,1000,10.0,-0.8747018297124334,0.015263488020713992,0.39879824636312683,0.9689626989306036,0.4293282388135557,-1.2887635640962742,-2.0
aif,0,17,1,1000,10.0,-0.8419769145910712,0.06749331733446258,0.3792933321707405,2.473059314607609,0.09856638083130316,-1.2887635640962742,-2.0
aif,0,18,1,73,0.73,3.684043437110587,2.5104719323446334,2.4623350688622274,2.7057424774972776,0.48993119106581046,-1.2887635640962742,-2.0
aif,0,19,1,75,0.75,3.7570984604578426,0.9248977361199252,4.120964288434191,5.0985157167117965,0.0326829907945105,-1.2887635640962742,-2.0
aif,1,1,1,34,0.34,7.7907314218209125,1.3206398828027983,7.758855103114388,11.101472550339842,-0.271329163989439,-1.2887635640962742,-2.0
aif,1,2,1,20,0.2,9.232473242633628,1.2972352319241798,9.224001574805722,13.201838311858157,0.0038686256269183745,-1.2887635640962742,-2.0
aif,1,3,1,27,0.27,7.785147119139704,1.4799830270065344,7.593927656229443,10.121335379237557,-0.18061169281567363,-1.2887635640962742,-2.0
aif,1,4,1,64,0.64,3.035618058984534,0.7650019233819036,3.5593796996989044,7.584767281187085,0.553505062404746,-1.2887635640962742,-2.0
aif,1,5,1,0,,,,,,,,-2.0
aif,1,6,1,1000,10.0,-0.8703017591097023,0.009804243401348132,0.4086575615852238,1.8512964216826922,-0.41678292871649253,-1.2887635640962742,-2.0
aif,1,7,1,360,3.6,-0.32619017756467805,0.18864239865570945,0.7739309878758868,2.1182110171161836,0.3793884817709239,-1.2887635640962742,-2.0
aif,1,8,1,0,,,,,,,,-2.0
aif,1,9,1,929,9.290000000000001,-0.8681695303833592,0.07352221846282164,0.34707181525009345,2.4940548248089547,0.19688624843783709,-1.2887635640962742,-2.0
aif,1,10,1,1000,10.0,-0.8854601713446881,0.05360029022597591,0.3497031025256102,3.376834551452176,-0.008206538964810776,-1.2887635640962742,-2.0
aif,1,11,1,1000,10.0,-0.8874684690833032,0.053314732161540264,0.34798036285143075,2.1713958006963905,-0.41878344584898325,-1.2887635640962742,-2.0
aif,1,12,1,1000,10.0,-0.9121988838198803,0.027822212362014313,0.3487424679143796,1.9101808368852489,0.3187373201753897,-1.2887635640962742,-2.0
aif,1,13,1,0,,,,,,,,-2.0
aif,1,14,1,0,,,,,,,,-2.0
aif,1,15,1,1,0.01,21.68410490105242,6.537313856219325,16.435554608929372,17.368055268445328,-0.7870067422785948,-1.2887635640962742,-2.0
aif,1,16,1,0,,,,,,,,-2.0
aif,1,17,1,0,,,,,,,,-2.0
aif,1,18,1,5,0.05,17.549553961359805,5.5383213630027015,13.299996162453379,13.027275027464132,-0.3322244231957229,-1.2887635640962742,-2.0
aif,1,19,1,10,0.1,14.609245265707859,4.750845265032473,11.147163564771661,15.110959456342036,-0.36820892292712626,-1.2887635640962742,-2.0
aif,1,20,1,1000,10.0,-0.8744891284424269,0.04135631317897072,0.37291812247487666,2.7944929629466553,0.07125415156064664,-1.2887635640962742,-2.0
aif,1,21,1,0,,,,,,,,-2.0
aif,1,22,1,13,0.13,13.314078667710646,3.232359138004152,11.370483093802768,12.685617959894318,-0.6613475952668415,-1.2887635640962742,-2.0
aif,1,23,1,427,4.2700000000000005,-0.44304896978820907,0.09559444306518536,0.7501201512428798,1.8073863674383615,0.4121764844582962,-1.2887635640962742,-2.0
aif,1,24,1,0,,,,,,,,-2.0
aif,1,25,1,0,,,,,,,,-2.0
aif,2,1,1,2,0.02,17.826176483412343,1.449469038380413,17.665471009128204,13.545466302557575,-0.16453311715432944,-1.2887635640962742,-2.0
aif,2,2,1,47,0.47000000000000003,4.382504447717337,1.09226336342582,4.579004648387791,7.8279878615701834,0.1615560844721481,-1.2887635640962742,-2.0
aif,2,3,1,187,1.87,0.6097354231829211,0.15091875808894184,1.7475802291902534,2.6722172144806438,0.216828325123271,-1.2887635640962742,-2.0
aif,2,4,1,76,0.76,2.744833158207033,0.4632299030235603,3.5703668192797466,7.674526092869428,0.6618672256873152,-1.2887635640962742,-2.0
aif,2,5,1,239,2.39,0.2155779017888717,0.1359954506788779,1.368346015206268,2.0380912210640685,0.18744859462118973,-1.2887635640962742,-2.0
aif,2,6,1,138,1.3800000000000001,1.1202154668982265,0.1676418775617815,2.241337153432719,3.724024158813428,0.13046434202022023,-1.2887635640962742,-2.0
aif,2,7,1,22,0.22,8.562200915100249,0.258598125572356,9.592366353624168,8.390711989846492,-0.26051939962812454,-1.2887635640962742,-2.0
aif,2,8,1,280,2.8000000000000003,0.16790182601146397,0.13389523872157388,1.3227701513861643,1.7754512263998359,0.21441049667279635,-1.2887635640962742,-2.0
aif,2,9,1,21,0.21,10.750218026874242,2.2702184231959848,9.768763167774532,15.134678619776677,-0.29158111230815137,-1.2887635640962742,-2.0
aif,2,10,1,0,,,,,,,,-2.0
aif,2,11,1,52,0.52,4.183518200216426,0.4201101049748219,5.052171659337878,5.7693965555809985,-0.07768184616382715,-1.2887635640962742,-2.0
aif,2,12,1,491,4.91,-0.5470034918664236,0.10683403650368825,0.6349260357261624,2.4290377591731933,0.17650577028515996,-1.2887635640962742,-2.0
aif,2,13,1,41,0.41000000000000003,5.2911859346916525,1.083284220464314,5.496665278323612,7.573820285783697,0.38487289476407804,-1.2887635640962742,-2.0
aif,2,14,1,1000,10.0,-0.9060955272153652,0.055405603383571055,0.3272624334973379,2.680448325727201,-0.05088504494563117,-1.2887635640962742,-2.0
aif,2,15,1,5,0.05,17.16012274174406,3.4708876533576642,14.977998652482672,19.147347544254796,-0.3198778396717042,-1.2887635640962742,-2.0
aif,2,16,1,0,,,,,,,,-2.0
aif,2,17,1,26,0.26,7.897784388561907,2.158899795361892,7.02764815729629,10.908663143255874,-0.07540795923184783,-1.2887635640962742,-2.0
aif,2,18,1,1000,10.0,-0.8557941861881008,0.011569570717148515,0.42139980719102493,2.3709022356494596,-0.20570619666817222,-1.2887635640962742,-2.0
aif,2,19,1,0,,,,,,,,-2.0
aif,2,20,1,17,0.17,12.903034554178635,2.702381509841496,11.489416608433414,15.41215512053092,-0.5712380233987291,-1.2887635640962742,-2.0
aif,2,21,1,24,0.24,8.729075951566614,1.9678209552984043,8.050018560364485,12.613919356079046,-0.21798190635868453,-1.2887635640962742,-2.0
aif,2,22,1,34,0.34,7.193654017892341,0.8986729273710801,7.583744654617535,11.598465892001414,-0.2822783980696986,-1.2887635640962742,-2.0
aif,2,23,1,16,0.16,12.386114660916917,1.4215847228087377,12.253293502204453,12.497359762204995,-0.9025754340037357,-1.2887635640962742,-2.0
aif,2,24,1,1000,10.0,-0.8925130611764017,0.04398910314542358,0.3522613997744489,0.7470333337307461,-0.47158614453000336,-1.2887635640962742,-2.0
aif,2,25,1,891,8.91,-0.8424203938706203,0.013411824974931659,0.4329313452507223,1.639280983390903,0.16076427915900782,-1.2887635640962742,-2.0
aif,2,26,1,38,0.38,6.985420452176203,0.9929745387146247,7.281209477557852,9.94848842409273,-0.3171421614977458,-1.2887635640962742,-2.0
aif,2,27,1,0,,,,,,,,-2.0
aif,2,28,1,16,0.16,11.421786228536128,2.120007618090119,10.590542174542284,12.439102304250165,-0.05912317684803318,-1.2887635640962742,-2.0
aif,3,1,1,182,1.82,0.5326691312725627,0.1974771166014024,1.6239555787674345,2.4226804316781463,0.35057692991463507,-1.2887635640962742,-2.0
