method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,b
noadapt,0,1,4.49,5.47,0.9799999999999995,1,-2.0,78.68477947781201,0.6349515447867979,0,5.46,0.009999999999999787,124.70533443868248,7.607,13.0498,10.0
noadapt,0,2,11.66,14.68,3.0199999999999996,1,-2.0,24.120041189188363,1.990316738162309,0,14.67,0.009999999999999787,124.70533443868248,7.607,13.0498,10.0
noadapt,0,3,21.22,22.75,1.5300000000000011,1,-2.0,67.72190311127893,0.7962790374001845,0,22.740000000000002,0.00999999999999801,124.70533443868248,7.607,13.0498,10.0
noadapt,0,4,28.94,31.41,2.469999999999999,1,-2.0,35.53120944331066,1.3208523620615082,0,31.400000000000002,0.00999999999999801,124.70533443868248,7.607,13.0498,10.0
noadapt,0,5,40.46,40.94,0.4799999999999969,1,-2.0,49.25549297082254,0.555416414242103,0,40.93,0.00999999999999801,124.70533443868248,7.607,13.0498,10.0
noadapt,0,6,45.980000000000004,47.44,1.4599999999999937,1,-2.0,59.920636969278625,0.8602977011303459,0,47.43,0.00999999999999801,124.70533443868248,7.607,13.0498,10.0
noadapt,0,7,52.15,55.17,3.020000000000003,1,-2.0,35.36405455329725,1.5764143899013945,0,55.160000000000004,0.00999999999999801,124.70533443868248,7.607,13.0498,10.0
noadapt,0,8,61.910000000000004,63.42,1.509999999999998,1,-2.0,51.19176949329335,0.9456249563888974,0,63.410000000000004,0.00999999999999801,124.70533443868248,7.607,13.0498,10.0
noadapt,0,9,69.39,69.88,0.4899999999999949,1,-2.0,39.51594325217421,0.7939027395018172,0,69.87,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,10,77.31,79.96000000000001,2.6500000000000057,1,-2.0,20.298182719226368,2.0132515991898927,0,79.95,0.010000000000005116,124.70533443868248,7.607,13.0498,10.0
noadapt,0,11,88.07000000000001,88.95,0.8799999999999955,1,-2.0,nan,0.6546174755014675,0,88.94,0.010000000000005116,124.70533443868248,7.607,13.0498,10.0
noadapt,0,12,92.37,93.81,1.4399999999999977,1,-2.0,46.941955029149824,0.9263566859170353,0,93.8,0.010000000000005116,124.70533443868248,7.607,13.0498,10.0
noadapt,0,13,97.94,98.13,0.18999999999999773,1,-2.0,18.764870077672825,1.5097519637869752,0,98.12,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,14,108.41,111.43,3.0200000000000102,1,-2.0,15.375309725925241,2.7046631972281787,0,111.42,0.010000000000005116,124.70533443868248,7.607,13.0498,10.0
noadapt,0,15,122.56,123.46000000000001,0.9000000000000057,1,-2.0,55.488014585251385,0.6911867414166082,0,123.45,0.010000000000005116,124.70533443868248,7.607,13.0498,10.0
noadapt,0,16,130.38,130.67000000000002,0.29000000000002046,1,-2.0,38.35953633447921,0.6503922291224882,0,130.66,0.010000000000019327,124.70533443868248,7.607,13.0498,10.0
noadapt,0,17,138.31,139.47,1.1599999999999966,1,-2.0,nan,0.7384037923970226,0,139.46,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,18,142.95000000000002,145.97,3.019999999999982,1,-2.0,31.602403186657046,1.7662827163062218,0,145.96,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,19,155.12,156.37,1.25,1,-2.0,35.165633501473636,0.5895479568097102,0,156.36,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,20,163.20000000000002,164.75,1.549999999999983,1,-2.0,40.85848611136008,1.0192589740333062,0,164.74,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,21,168.76,171.39000000000001,2.630000000000024,1,-2.0,18.22797744597623,2.0780601712521616,0,171.38,0.010000000000019327,124.70533443868248,7.607,13.0498,10.0
noadapt,0,22,179.21,180.71,1.5,1,-2.0,50.23803805072834,0.8923168255187903,0,180.70000000000002,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,23,186.41,188.42000000000002,2.0100000000000193,1,-2.0,16.031600715722767,1.7962446339750926,0,188.41,0.010000000000019327,124.70533443868248,7.607,13.0498,10.0
noadapt,0,24,197.28,198.79,1.509999999999991,1,-2.0,50.25737566814871,0.9345406605114306,0,198.78,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,25,202.54,204.06,1.5200000000000102,1,-2.0,48.38018202113443,0.8927232692365692,0,204.05,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,26,211.88,212.14000000000001,0.2600000000000193,1,-2.0,38.07543402522658,0.819853076751528,0,212.13,0.010000000000019327,124.70533443868248,7.607,13.0498,10.0
noadapt,0,27,216.31,217.39000000000001,1.0800000000000125,1,-2.0,65.05659110560846,0.638965963915993,0,217.38,0.010000000000019327,124.70533443868248,7.607,13.0498,10.0
noadapt,0,28,222.11,224.66,2.549999999999983,1,-2.0,45.71660317516696,1.3234626269610885,0,224.65,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,29,229.78,231.16,1.3799999999999955,1,-2.0,nan,0.8039717779942919,0,231.15,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,30,238.89000000000001,241.63,2.7399999999999807,1,-2.0,17.32165678601754,2.3308290320161404,0,241.62,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,31,251.93,253.44,1.509999999999991,1,-2.0,37.668803166008395,1.0342539968743694,0,253.43,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,32,261.18,262.08,0.8999999999999773,1,-2.0,nan,0.58551681881778,0,262.07,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,33,265.53000000000003,266.98,1.4499999999999886,1,-2.0,59.42689195098613,0.8672273868455136,0,266.97,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,34,270.66,271.84000000000003,1.1800000000000068,1,-2.0,55.998167544050936,0.7295301043519089,0,271.83,0.010000000000047748,124.70533443868248,7.607,13.0498,10.0
noadapt,0,35,276.7,277.41,0.7100000000000364,1,-2.0,54.49222371620999,0.6607926316631136,0,277.40000000000003,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,36,284.82,287.69,2.8700000000000045,1,-2.0,20.275054358430914,2.015775454929212,0,287.68,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,0,37,293.91,296.93,3.019999999999982,0,-0.1545127091913463,7.258352749629208,2.609707577992168,0,296.92,0.009999999999990905,124.70533443868248,7.607,13.0498,10.0
noadapt,1,1,4.49,5.62,1.13,1,-2.0,13.465398436779887,2.4470669856294487,0,5.61,0.009999999999999787,121.22620301454175,7.607,13.0498,10.0
noadapt,1,2,16.71,18.0,1.2899999999999991,1,-2.0,22.18796164272103,1.498429894327293,0,17.990000000000002,0.00999999999999801,121.22620301454175,7.607,13.0498,10.0
noadapt,1,3,24.490000000000002,24.63,0.13999999999999702,1,-2.0,32.65211636991237,0.6933518863121755,0,24.62,0.00999999999999801,121.22620301454175,7.607,13.0498,10.0
noadapt,1,4,29.48,29.55,0.07000000000000028,1,-2.0,27.973798628374507,0.6222861211526194,0,29.54,0.010000000000001563,121.22620301454175,7.607,13.0498,10.0
noadapt,1,5,34.730000000000004,36.1,1.3699999999999974,1,-2.0,25.483800201755137,1.384924669658881,0,36.09,0.00999999999999801,121.22620301454175,7.607,13.0498,10.0
noadapt,1,6,41.28,42.33,1.0499999999999972,1,-2.0,34.33642585992862,0.5325632787879471,0,42.32,0.00999999999999801,121.22620301454175,7.607,13.0498,10.0
noadapt,1,7,48.89,49.03,0.14000000000000057,1,-2.0,21.65161284733075,1.2179132091645286,0,49.02,0.00999999999999801,121.22620301454175,7.607,13.0498,10.0
noadapt,1,8,57.27,58.42,1.1499999999999986,1,-2.0,47.39834976363435,0.7907205161056368,0,58.410000000000004,0.00999999999999801,121.22620301454175,7.607,13.0498,10.0
noadapt,1,9,65.67,67.65,1.980000000000004,1,-2.0,21.77847867363266,1.7309552877999401,0,67.64,0.010000000000005116,121.22620301454175,7.607,13.0498,10.0
noadapt,1,10,77.69,78.86,1.1700000000000017,1,-2.0,40.637205341232715,0.937945420639327,0,78.85000000000001,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,11,83.9,85.10000000000001,1.2000000000000028,1,-2.0,43.14089664449054,0.9071280095745493,0,85.09,0.010000000000005116,121.22620301454175,7.607,13.0498,10.0
noadapt,1,12,90.58,92.01,1.4300000000000068,1,-2.0,20.082476607319638,1.7328651520285234,0,92.0,0.010000000000005116,121.22620301454175,7.607,13.0498,10.0
noadapt,1,13,101.36,103.63,2.269999999999996,1,-2.0,20.016301147409983,2.0624082022540478,0,103.62,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,14,113.42,114.39,0.9699999999999989,1,-2.0,51.348122226032615,0.6612738395440303,0,114.38,0.010000000000005116,121.22620301454175,7.607,13.0498,10.0
noadapt,1,15,121.37,123.59,2.219999999999999,1,-2.0,21.895690503002786,1.842867290846982,0,123.58,0.010000000000005116,121.22620301454175,7.607,13.0498,10.0
noadapt,1,16,133.72,134.42000000000002,0.700000000000017,1,-2.0,54.41029725547898,0.549080174873879,0,134.41,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
noadapt,1,17,142.42000000000002,143.58,1.1599999999999966,1,-2.0,40.30936322263081,0.8491243849172676,0,143.57,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
noadapt,1,18,151.54,152.73,1.1899999999999977,1,-2.0,44.58373676058106,0.7821040565804864,0,152.72,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,19,158.33,160.33,2.0,1,-2.0,15.324159351605953,2.6714248013553004,0,160.32,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
noadapt,1,20,172.77,174.42000000000002,1.6500000000000057,1,-2.0,21.387166146650777,1.7443494034603901,0,174.41,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
noadapt,1,21,183.65,185.39000000000001,1.740000000000009,1,-2.0,17.361366222415406,2.2129521515278014,0,185.38,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
noadapt,1,22,195.04,195.93,0.8900000000000148,1,-2.0,22.14235567225349,1.1893323171218242,0,195.92000000000002,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,23,206.14000000000001,207.83,1.6899999999999977,1,-2.0,25.58976537697862,1.4586585869857203,0,207.82,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
noadapt,1,24,214.04,215.24,1.200000000000017,1,-2.0,13.948183497106344,2.4683333184432144,0,215.23000000000002,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,25,225.19,226.34,1.1500000000000057,1,-2.0,31.04766825552157,0.9010295430370974,0,226.33,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,26,235.82,236.65,0.8300000000000125,1,-2.0,12.528036248139536,0.7122276281134958,0,236.64000000000001,0.009999999999990905,121.22620301454175,7.607,13.0498,10.0
noadapt,1,27,253.33,253.48000000000002,0.15000000000000568,1,-2.0,28.179799273675535,0.9373357101458453,0,253.47,0.010000000000019327,121.22620301454175,7.607,13.0498,10.0
