method,n_seeds,falls_per_bout,falls_sem,mean_tilt_surv,mean_dist_under_fault,mean_trial_dist
noadapt,5,33.6,1.0295630140987,6.779071664486489,43.236200477107914,125.41832450545607
grid,5,22.0,2.16794833886788,9.258029316709473,29.076383150853605,83.4110726369773
bo,5,23.8,3.5832945734337827,6.367537800514651,41.7214184068141,100.26718070340469
esc,5,32.2,0.7348469228349533,nan,42.02890694368479,121.75350202945724
oracle,5,1.2,0.3741657386773941,0.5158767945821939,1.8787217584679592,6.688414352157983
aif,5,25.2,1.8814887722226779,nan,37.160663266192365,95.66635818611394
