method,n_seeds,J_all,J_all_sem,J_surv,J_surv_sem,n_events,n_falls,prior,window
noadapt,5,3.0859838398716,0.9352622765972614,-1.1451316751089529,0.024299355835404986,160,158,upright,tail
grid,5,2.761244418696392,1.2413518381241126,-1.0131156345272423,nan,101,100,upright,tail
bo,5,3.3578975498720816,1.4233440687848193,-1.151813529158543,0.05493578081177403,109,105,upright,tail
esc,5,3.4460258534557537,1.0728177014075884,nan,nan,154,154,upright,tail
aif,5,3.7849717642343457,1.0600182379958485,nan,nan,105,105,upright,tail
oracle,5,1.296775173207268,1.4487824246780774,-1.287687630884856,0.0003938807352764907,10,5,upright,tail
