optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,gc,gp,omegaswing,omegastance,mu,xofffront,xoffhind,sigmaN
BO_decline10,2,1,-0.6197807822804973,1.242536918860973,2.8593781368539957,0.6092305848163001,1.3338291545472591,1,14.454055314680744,6.262245060498159,13.027048853908434,0.0,0.5584657192230225,0.5584657192230225,6.092897073994531,14.47736715121185,22.213386108914207,28.21705797472839,0.3200452366845443,0.2821401317029486,0.5939505366833018,0.645951610597375
BO_decline10,2,2,-0.5583868764542897,1.1167838128576948,2.8334921218532174,0.5693067095947018,1.6241710058778398,1,24.709464739257438,12.46978667646073,21.33218385314005,0.0,0.5985305309295654,0.5985305309295654,6.199754943248305,19.861495223133886,18.43398494170642,30.252179215686766,0.24468385586215424,0.26732432464363004,0.7113923366350638,6.368525552813752
BO_decline10,2,3,-0.7547724564548075,1.5097056224001546,2.8713579912691474,0.144037713622411,1.4806693118051901,1,14.988205979177797,11.975912064127787,9.012427459155475,0.0,0.36718249320983887,0.36718249320983887,11.739487619949413,20.245972334644378,15.874372496200392,31.55383994020343,0.2056822995072799,0.22776649339239424,0.9456047047502896,7.778083030479626
BO_decline10,2,4,-0.5841871892188909,1.2420481435821764,2.805246902016944,0.14483517279365274,1.0588687867180864,1,10.890502302497074,8.239379599949865,7.121493116518759,0.0,0.5942807197570801,0.5942807197570801,6.545172804922995,23.86325344760236,17.06364828123636,49.28155947707805,0.09824328880411462,0.12613588960823538,0.6009537237647251,8.856051769514107
BO_decline10,2,5,-0.8098247088917687,1.619652353563277,2.705046900248677,0.052345601074082496,1.6801380514758038,1,9.370883406205701,7.682274387328658,5.36620126816871,0.0,0.4488706588745117,0.4488706588745117,9.438491691876669,22.73854485421652,19.666544038082762,39.22898391864378,0.28246018735624856,0.24836087943897653,0.9310589924538141,4.438043044975337
BO_decline10,2,6,-2.294909672124511,200.0,1.3838596924924975,0.9330211198955698,-0.5285673808715663,1,49.596906976159055,21.756456211508137,44.57027927575173,3.7580904960632324,0.9765570163726807,4.734647512435913,4.0,21.7626918292375,10.0,25.0,0.07968047225382968,0.35,0.6352813796770977,10.0
BO_decline10,2,7,-50.0,1000.0,0.6203994556987404,0.7604077774945232,0.0,1,1000.0,1000.0,1000.0,3.8480329513549805,0.6676509380340576,4.515683889389038,11.091933303937633,10.0,19.524210315972944,25.0,0.13218729141352892,0.1,0.5,8.846486197433721
BO_decline10,2,8,-3.1373082098977343,6.27572717509287,1.699176835473405,0.4452240764473163,0.678136383186969,1,52.881592522825635,28.200541826377318,44.734687530471376,3.912245035171509,1.0426733493804932,4.954918384552002,11.523356637397058,14.980646766011924,10.0,57.43343710313658,0.0801641941914952,0.35,1.0,0.1
BO_decline10,2,9,-50.0,1000.0,-0.007322655813222622,0.49796628478322885,0.0,1,1000.0,1000.0,1000.0,3.0177385807037354,0.5741736888885498,3.591912269592285,12.0,14.278802736798264,25.0,25.0,0.5,0.35,1.0,10.0
BO_decline10,2,10,0.15699140945970702,1.1223255455662096,2.904838424206099,0.06682131107906054,0.7062531974345494,1,7.97718504739811,7.597204089314409,2.4326880822942374,2.137507200241089,0.8720388412475586,3.0095460414886475,4.0,19.385933604644585,10.0,25.0,0.05,0.1,0.5,0.1
BO_decline10,2,11,0.11078473680513357,1.4483225522027934,2.8173130254829606,0.11679117393295395,0.7000141991251579,1,7.086007313296936,5.676495733339788,4.241331846657705,2.168818473815918,1.1162779331207275,3.2850964069366455,12.0,18.481754530575856,10.0,60.0,0.5,0.1,0.5,1.2291121133956335
BO_decline10,2,12,-0.7569883441919643,1.5140864378476833,2.89789239517098,0.02562431932790135,1.5121384176035204,1,20.097371319049888,15.683245218215466,12.567424293031994,1.5844025611877441,0.5439295768737793,2.1283321380615234,12.0,18.611327847566496,25.0,60.0,0.05,0.35,0.5,0.1
BO_decline10,2,13,-50.0,1000.0,0.1043658644617917,0.21853366928878648,0.0,1,1000.0,1000.0,1000.0,1.1842541694641113,0.29462695121765137,1.4788811206817627,4.0,10.0,25.0,60.0,0.5,0.1,0.5,0.1
BO_decline10,2,14,-0.7429441971071814,1.4858883942146348,2.73264436856239,1.169608400664895,1.7367797515894505,1,10.360015109147268,6.9810413358700325,7.654735457782563,2.4936656951904297,0.8018405437469482,3.295506238937378,4.0,17.463451712332674,25.0,25.0,0.5,0.35,1.0,0.1
BO_decline10,2,15,-0.15284901397891998,1.126394065189036,2.896396034071398,0.017336376648479788,0.7650008382129245,1,8.006283482144926,7.45621668358851,2.916403258097727,4.3913795948028564,1.1283447742462158,5.519724369049072,4.0,16.333696460457993,25.0,25.0,0.05,0.1,0.5,0.1
BO_decline10,2,16,-1.7822220198554857,3.572334126387711,1.7978629720436698,0.22131756148336007,0.6700426510093823,1,44.383964229322636,34.58429329575855,27.818392080469742,2.980813980102539,0.8596196174621582,3.8404335975646973,12.0,16.709555284389698,10.0,25.0,0.05,0.35,0.5,0.1
BO_decline10,2,17,-50.0,1000.0,0.5247247861974339,0.6270254502707368,0.0,1,1000.0,1000.0,1000.0,4.1306376457214355,0.4859168529510498,4.616554498672485,4.0,25.0,10.0,60.0,0.05,0.1,0.5,0.1
BO_decline10,2,18,-50.0,1000.0,0.19422374597386466,0.6615263318238334,-0.4140906548632292,1,72.68857945116044,18.605484290777216,70.26710138417057,4.693075895309448,0.47481489181518555,5.167890787124634,12.0,21.711734990495184,10.0,60.0,0.5,0.1,0.5,6.630081477708136
BO_decline10,2,19,-0.6711206476752798,2.265877248701659,2.7573808225394765,0.058618939510155454,0.8227419302965605,1,7.198861097778126,5.774375749394186,4.298858663635223,5.481031179428101,0.9391577243804932,6.420188903808594,12.0,18.83131652382086,21.39938306933243,25.0,0.2741006191589852,0.1,1.0,0.2984529083843175
BO_decline10,2,20,0.3993500222557109,1.264992079714435,2.8689390845513563,0.10305713352236076,0.6160450058722755,1,8.958700950104495,7.041035586392716,5.539146196351435,4.134457349777222,2.1818106174468994,6.316267967224121,4.0,17.65359520312616,10.0,43.15709096262898,0.5,0.1,0.5,0.1
BO_decline10,2,21,-0.595487379219109,1.7849350917546198,2.7287128529388767,0.5674587611017416,0.8092887865087993,1,11.03237603415079,3.7193312873749194,10.386524718771854,6.099985122680664,1.2361986637115479,7.336183786392212,4.0,19.67968816194653,10.0,53.04362905192585,0.05,0.1,1.0,4.812960192073375
BO_decline10,2,22,-2.666102367555935,5.332239905777695,0.7065738335473734,0.8169607541329456,0.6048598476738286,1,54.3654009218891,53.46547226310652,9.850893009302625,2.830016851425171,0.5626673698425293,3.3926842212677,4.0,17.553635595528696,10.0,60.0,0.20975459580102462,0.35,0.5,2.361114522757602
BO_decline10,2,23,-50.0,1000.0,0.13232471855160113,0.2975562543677074,0.0,1,1000.0,1000.0,1000.0,6.110735893249512,0.34490418434143066,6.455640077590942,12.0,21.87125548846354,25.0,25.0,0.1365441897857136,0.35,0.5,5.575354617777374
BO_decline10,2,24,-0.8177323759404078,2.1382909747045833,2.8801116315928352,1.0518818313323715,0.7996799330394653,1,20.660627453577433,14.565786184387992,14.652624324884925,6.0277159214019775,2.159576416015625,8.187292337417603,9.521194346794411,18.017815197879614,14.945548076923036,60.0,0.12264523238921105,0.1,1.0,1.420869149958355
BO_decline10,2,25,-1.8949165908459031,3.790338337939997,2.1794129008520096,0.11429390847494891,1.1709699494544943,1,29.965161444616818,28.60619408482745,8.921690444256251,8.435569763183594,0.4309210777282715,8.866490840911865,4.0,18.513289605958747,19.303478901636048,60.0,0.5,0.35,0.5,0.43240444060312566
BO_decline10,2,26,-0.2217490861721002,1.3803761623940483,2.8115025559404345,0.5852749993664383,0.7350122031505357,1,7.691835434321827,5.616643345259622,5.2552497448589115,10.648406505584717,2.2751617431640625,12.92356824874878,6.867812942985733,19.459331186382325,15.240813454261646,25.0,0.05,0.1,0.5983229599383172,0.4125472256722815
BO_decline10,2,27,-0.7023676199894435,1.6582701824874522,2.845865301457637,0.12340593884261486,0.93412528788648,1,8.206699086549188,6.5472403077556764,4.9480859177733185,6.340196132659912,0.7523083686828613,7.092504501342773,12.0,25.0,25.0,60.0,0.2992940840003951,0.1,0.666386242877222,4.663383853383347
BO_decline10,2,28,-0.36114470236750995,1.8744074733483198,2.880967788447243,0.006245273755221172,0.7996695371376795,1,6.73294456128886,6.4479507289243125,1.9381624964779554,5.6233086585998535,1.0136914253234863,6.63700008392334,12.0,15.317026349011137,25.0,60.0,0.05,0.1,0.6888119512187334,1.586852602046788
BO_decline10,2,29,-0.16859070290423073,1.5902738391319264,2.8842710080192746,0.07301855457537745,0.7756829522588379,1,9.364546652206192,6.602100619324799,6.641310218146516,4.540390253067017,1.204024076461792,5.744414329528809,4.0,25.0,10.0,60.0,0.05,0.1,0.7069087145306091,10.0
BO_decline10,2,30,-1.0221381082539516,200.0,0.17275323583557622,1.6579238329944332,-0.892435376101967,1,68.01348979246886,9.592614783954877,67.33362113652373,8.011996746063232,0.6833086013793945,8.695305347442627,4.0,23.818462222955233,25.0,25.0,0.05,0.35,1.0,4.777501445023007
BO_decline10,2,31,-1.5037505851980517,3.00750241857094,2.2507163445626794,0.26721669560310457,0.6369996743938671,1,48.08280998509182,6.153490030837709,47.68743206026957,8.81656789779663,0.49747657775878906,9.31404447555542,6.445852369652385,17.400456101257124,10.0,25.0,0.05,0.35,0.865439670196808,0.8178915191570565
