optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,gc,gp,omegaswing,omegastance,mu,xofffront,xoffhind,sigmaN
BO_incline20,3,1,-50.0,1000.0,0.0009036785633301314,0.0076639880847652565,0.0,1,1000.0,1000.0,1000.0,0.0,0.03373432159423828,0.03373432159423828,4.685193337148995,13.552157598941495,22.01911697809595,45.37567126225287,0.09235788900817964,0.20828173505911846,0.739525649070417,1.681415254907078
BO_incline20,3,2,-50.0,1000.0,-0.0004282880661829187,0.004778934898323018,0.0,1,1000.0,1000.0,1000.0,0.0,0.02951788902282715,0.02951788902282715,9.876617211273716,11.705080298821052,15.86842285743493,43.08590639174773,0.24378260918638,0.24669964285953516,0.8689188936460801,9.567045822877375
BO_incline20,3,3,-50.0,1000.0,0.0005568358127007108,0.004759676104569637,0.0,1,1000.0,1000.0,1000.0,0.0,0.03177642822265625,0.03177642822265625,6.273609309990332,19.728208106197375,20.44323995005233,35.24522621543705,0.05067053757897628,0.34336506869160316,0.6492006115084379,3.2084614201399346
BO_incline20,3,4,-50.0,1000.0,0.00062835821908264,0.004783391841818129,0.0,1,1000.0,1000.0,1000.0,0.0,0.042016029357910156,0.042016029357910156,11.133688563561257,18.77744409836362,17.06964497772747,52.06469533770857,0.06365570344811204,0.27674127391390585,0.6871219167392354,0.9994418636921525
BO_incline20,3,5,-50.0,1000.0,0.0006078080636572064,0.004775110265268821,0.0,1,1000.0,1000.0,1000.0,0.0,0.04373931884765625,0.04373931884765625,9.284000539423158,23.97195782112032,13.107867521215018,47.053156992487004,0.18417339079584116,0.28543917001733254,0.8610824040710587,2.2652827032311653
BO_incline20,3,6,-50.0,1000.0,0.0006039413243616658,0.0047533182583390215,0.0,1,1000.0,1000.0,1000.0,2.5132298469543457,0.04589438438415527,2.559124231338501,12.0,25.0,25.0,25.0,0.5,0.1,0.5,0.1
BO_incline20,3,7,-50.0,1000.0,0.0006190744912118421,0.004800394299841642,0.0,1,1000.0,1000.0,1000.0,1.2602782249450684,0.03850197792053223,1.2987802028656006,4.0,10.0,10.0,60.0,0.5,0.35,0.5,0.1
BO_incline20,3,8,-50.0,1000.0,0.0006803735146233788,0.004800109566520802,0.0,1,1000.0,1000.0,1000.0,1.5243663787841797,0.0723121166229248,1.5966784954071045,4.0,25.0,10.0,60.0,0.05,0.1,0.5,10.0
BO_incline20,3,9,-50.0,1000.0,0.0006246611692348812,0.004800615111791869,0.0,1,1000.0,1000.0,1000.0,1.283144235610962,0.04968857765197754,1.3328328132629395,4.0,25.0,25.0,60.0,0.5,0.35,1.0,10.0
BO_incline20,3,10,-50.0,1000.0,0.0005419609153758252,0.004752458263727722,0.0,1,1000.0,1000.0,1000.0,1.8691205978393555,0.0502321720123291,1.9193527698516846,4.0,25.0,10.0,25.0,0.5,0.1,1.0,0.1
BO_incline20,3,11,-50.0,1000.0,0.0005140473288859158,0.0047518473982545995,0.0,1,1000.0,1000.0,1000.0,1.0948259830474854,0.04769611358642578,1.1425220966339111,12.0,25.0,10.0,25.0,0.5,0.35,0.5,10.0
