seed,method,trigger,triggered,fell,reached_end,dist,t_end,bands_crossed,trigger_t,fall_t,n_triggers,n_proposals,n_pauses,n_windows,mean_J,win_to_good,mean_tip,max_tip,mean_vx,baseline_ce,npz
0,bo,cusum,1,1,0,10.20743569062953,14.22,1,7.99,14.22,1,5,0,5,-0.18157709972308558,0,12.94480246580434,77.67939584741228,0.7799134108519342,0.22755555555555557,runs/nat_seed0_bo_cusum.npz
0,grid,cusum,1,1,0,12.96291480667454,15.4,2,7.99,15.4,1,5,0,5,0.09766994858408555,0,10.02733304894472,80.64776459385054,0.9327178480908797,0.22755555555555557,runs/nat_seed0_grid_cusum.npz
0,marxefe,cusum,1,1,0,28.00301944421534,47.93,4,7.99,47.93,2,8,1,27,0.7223118115356214,0,4.785244775088832,18.001334319778437,0.5891792993514209,0.22755555555555557,runs/nat_seed0_marxefe_cusum.npz
0,noadapt,cusum,1,1,0,20.276830510803375,33.6,3,7.99,33.6,2,9,1,18,0.6808680433345619,0,6.270407405213595,58.503898988760184,0.61290490101623,0.22755555555555557,runs/nat_seed0_noadapt_cusum.npz
0,oracle,cusum,0,0,1,44.00469605483196,72.52,6,nan,nan,5,0,0,0,nan,-1,3.979696288225617,17.95909694082796,0.6120123002794748,0.22755555555555557,runs/nat_seed0_oracle_cusum.npz
1,bo,cusum,1,1,0,20.11736049763481,29.78,2,24.61,29.78,1,4,0,4,0.015231616168185802,0,4.565297335629099,79.46122666454049,0.6918971309028848,0.22755555555555557,runs/nat_seed1_bo_cusum.npz
1,grid,cusum,1,1,0,27.094933372591555,36.5,3,24.61,36.5,3,8,0,8,0.4213059006454393,0,4.875348393804899,82.6153992578061,0.7622089447141007,0.22755555555555557,runs/nat_seed1_grid_cusum.npz
1,marxefe,cusum,1,1,0,41.89178724128394,68.82000000000001,5,24.61,68.82000000000001,3,20,1,30,0.7649815500383512,0,6.176778941837522,67.69836088150676,0.6118537678156237,0.22755555555555557,runs/nat_seed1_marxefe_cusum.npz
1,noadapt,cusum,1,1,0,25.345819437627263,43.45,3,24.61,43.45,2,9,1,13,0.6549161973635147,0,4.929783839490371,58.070063671308894,0.5863111389046339,0.22755555555555557,runs/nat_seed1_noadapt_cusum.npz
1,oracle,cusum,0,1,0,36.673824020146874,61.89,4,nan,61.89,2,0,0,0,nan,-1,5.972098647695347,63.298205917419786,0.5972485179611675,0.22755555555555557,runs/nat_seed1_oracle_cusum.npz
2,bo,cusum,1,1,0,21.387763266916366,32.36,3,24.78,32.36,2,6,0,6,-0.08805972416443326,0,5.0087486228087315,74.22732126848769,0.6732567345912258,0.22755555555555557,runs/nat_seed2_bo_cusum.npz
2,grid,cusum,1,1,0,23.221832558732363,34.02,3,24.78,34.02,2,7,0,7,0.2683619615441284,0,4.177598771586623,59.081984049725676,0.696647629543708,0.22755555555555557,runs/nat_seed2_grid_cusum.npz
2,marxefe,cusum,1,1,0,28.87313171579936,49.75,4,24.78,49.75,3,8,1,17,0.6225625675843405,0,4.580733434490974,72.55697936585493,0.5821746343828901,0.22755555555555557,runs/nat_seed2_marxefe_cusum.npz
2,noadapt,cusum,1,1,0,29.841855612146528,50.88,4,24.78,50.88,3,9,1,18,0.6602063323161435,0,4.284397373174812,49.38548292807844,0.5887205716221936,0.22755555555555557,runs/nat_seed2_noadapt_cusum.npz
2,oracle,cusum,0,1,0,30.33488604883813,55.39,4,nan,55.39,4,0,0,0,nan,-1,4.907857940164062,73.55171530862305,0.5495139329269348,0.22755555555555557,runs/nat_seed2_oracle_cusum.npz
3,bo,cusum,1,1,0,11.116800314270495,18.650000000000002,2,9.81,18.650000000000002,1,6,0,6,0.2237122193689478,0,10.068383840780598,82.24633645116504,0.606201195243908,0.22755555555555557,runs/nat_seed3_bo_cusum.npz
3,grid,cusum,1,1,0,19.262669212017418,29.54,3,9.81,29.54,3,14,0,14,0.11875548786838472,0,9.985227489973036,57.626047940204096,0.6652580931995772,0.22755555555555557,runs/nat_seed3_grid_cusum.npz
3,marxefe,cusum,1,1,0,19.091022081221112,51.02,3,9.81,51.02,9,21,1,28,0.2718514869199994,0,5.4635355137751365,43.450642563072996,0.36163871522932334,0.22755555555555557,runs/nat_seed3_marxefe_cusum.npz
3,noadapt,cusum,1,0,1,44.00172349995045,78.35000000000001,6,9.81,nan,3,20,2,45,0.7951412930018681,0,5.732499392715815,20.551015418901866,0.5621071694917553,0.22755555555555557,runs/nat_seed3_noadapt_cusum.npz
3,oracle,cusum,0,1,0,24.13722244004748,44.31,3,nan,44.31,2,0,0,0,nan,-1,7.128845112742377,43.065422138822385,0.5466982628544425,0.22755555555555557,runs/nat_seed3_oracle_cusum.npz
4,bo,cusum,1,1,0,6.857870360382304,10.73,1,8.38,10.73,1,2,0,2,-0.6212981300002413,0,6.2350872923980765,72.93112177238179,0.6799400581732583,0.22755555555555557,runs/nat_seed4_bo_cusum.npz
4,grid,cusum,1,1,0,22.50324184348386,21.37,3,8.38,21.37,1,9,0,9,0.11911155650179427,0,11.212361319542547,74.06644007261713,1.1477270027860567,0.22755555555555557,runs/nat_seed4_grid_cusum.npz
4,marxefe,cusum,1,0,1,44.003641875876724,75.59,6,8.38,nan,4,17,3,44,0.8246415398265914,0,7.728599331049084,21.0863701933745,0.5836084701175391,0.22755555555555557,runs/nat_seed4_marxefe_cusum.npz
4,noadapt,cusum,1,1,0,31.938461227533054,56.53,4,8.38,56.53,4,22,1,33,0.5183040313571777,0,10.465495658583992,76.04328335985655,0.5658891775337304,0.22755555555555557,runs/nat_seed4_noadapt_cusum.npz
4,oracle,cusum,0,0,1,44.00495466903089,74.13,6,nan,nan,4,0,0,0,nan,-1,7.852335034069764,20.512831409938922,0.5971619670637617,0.22755555555555557,runs/nat_seed4_oracle_cusum.npz
5,bo,cusum,1,0,1,44.008304056943906,71.21000000000001,5,62.620000000000005,nan,1,6,0,5,0.6182939894404755,0,3.2940399394816415,22.754891369310325,0.6211675647428277,0.22755555555555557,runs/nat_seed5_bo_cusum.npz
5,grid,cusum,1,1,0,36.87478475085544,66.23,5,62.620000000000005,66.23,1,3,0,3,-0.47365512914227254,0,2.860387593340591,81.69533070062556,0.5568756354992064,0.22755555555555557,runs/nat_seed5_grid_cusum.npz
5,marxefe,cusum,1,0,0,43.8524176374723,79.99,5,62.620000000000005,nan,1,12,0,11,0.8012499612947436,0,4.262683655479728,16.236106738240213,0.5479333919241105,0.22755555555555557,runs/nat_seed5_marxefe_cusum.npz
5,noadapt,cusum,1,0,0,43.993519523389416,79.99,5,62.620000000000005,nan,1,12,0,11,0.812474717830758,0,4.252951332249719,16.256128182700934,0.5497754530979672,0.22755555555555557,runs/nat_seed5_noadapt_cusum.npz
5,oracle,cusum,0,0,0,42.8192308183955,79.99,5,nan,nan,1,0,0,0,nan,-1,3.9169069241461347,14.797229455369246,0.536251876618447,0.22755555555555557,runs/nat_seed5_oracle_cusum.npz
