slope_deg,seed,method,trigger,triggered,fell,trigger_t,fall_t,squash_t,t_surv,n_windows,mean_J,best_J,win_to_good,n_proposals,n_pauses,n_triggers,max_roll,dist_on_slope,baseline_ce,npz
10.0,0,noadapt,dt,1,0,9.94,nan,nan,20.0,13,0.7336271366853383,0.853355095371754,0,14,0,1,4.600676818037499,8.930402617533694,0.10035200000000001,runs/slope10_seed0_noadapt_dt.npz
10.0,0,oracle,dt,1,0,9.94,nan,0.24,20.0,13,0.6372280878766756,0.9402240888638784,0,14,0,1,13.628114721399257,14.344068756950179,0.10035200000000001,runs/slope10_seed0_oracle_dt.npz
10.0,1,noadapt,dt,1,0,10.03,nan,nan,20.0,13,0.7641250278666831,0.9004301985332724,0,14,0,1,4.1503710120443325,8.976765412961855,0.10035200000000001,runs/slope10_seed1_noadapt_dt.npz
10.0,1,oracle,dt,1,0,10.03,nan,nan,20.0,13,0.83608721653444,0.8845069183797808,0,14,0,1,4.826241902267622,15.247880619752475,0.10035200000000001,runs/slope10_seed1_oracle_dt.npz
10.0,2,noadapt,dt,1,1,9.93,28.16,nan,18.23,13,0.06308975947050224,0.6107106348603653,0,13,0,1,73.03153969015493,6.871704585926756,0.10035200000000001,runs/slope10_seed2_noadapt_dt.npz
10.0,2,oracle,dt,1,0,9.93,nan,nan,20.0,13,0.48571486312275614,0.8518594342822999,0,14,0,1,34.11753883212019,13.131725611644015,0.10035200000000001,runs/slope10_seed2_oracle_dt.npz
10.0,3,noadapt,dt,1,0,10.01,nan,nan,20.0,13,0.49215896481349375,0.827036106230678,0,14,0,1,46.69425811735419,8.166462478454847,0.10035200000000001,runs/slope10_seed3_noadapt_dt.npz
10.0,3,oracle,dt,1,1,10.01,28.09,nan,18.080000000000002,13,0.002613922036288032,0.8001515487246242,0,13,0,1,21.50909373764579,10.204284817082383,0.10035200000000001,runs/slope10_seed3_oracle_dt.npz
10.0,4,noadapt,dt,1,0,10.09,nan,nan,20.0,13,0.5633579482521184,0.8477417262808136,0,14,0,1,9.884316808797884,8.597721510606835,0.10035200000000001,runs/slope10_seed4_noadapt_dt.npz
10.0,4,oracle,dt,1,0,10.09,nan,nan,20.0,13,0.7460970048480231,0.9317320849766852,0,14,0,1,9.37072040635372,14.891238080339676,0.10035200000000001,runs/slope10_seed4_oracle_dt.npz
10.0,5,noadapt,dt,1,0,10.09,nan,nan,20.0,13,0.6107520553721533,0.839484226910131,0,14,0,1,6.241001930539901,8.710956492429952,0.10035200000000001,runs/slope10_seed5_noadapt_dt.npz
10.0,5,oracle,dt,1,0,10.09,nan,nan,20.0,13,0.7171182516246237,0.8686043913484476,0,14,0,1,8.421104953442805,14.984693025387218,0.10035200000000001,runs/slope10_seed5_oracle_dt.npz
10.0,6,noadapt,dt,1,0,10.0,nan,nan,20.0,13,0.6852128017454453,0.8415799902640416,0,14,0,1,6.303850327125544,8.839410382159812,0.10035200000000001,runs/slope10_seed6_noadapt_dt.npz
10.0,6,oracle,dt,1,0,10.0,nan,nan,20.0,13,0.8950498636712888,0.951785134228187,0,14,0,1,3.23069752219123,15.467493401213943,0.10035200000000001,runs/slope10_seed6_oracle_dt.npz
10.0,7,noadapt,dt,1,0,10.0,nan,nan,20.0,13,0.7816405439100341,0.87301211299244,0,14,0,1,4.462809353454609,8.958029655658855,0.10035200000000001,runs/slope10_seed7_noadapt_dt.npz
10.0,7,oracle,dt,1,0,10.0,nan,nan,20.0,13,0.8694460285493607,0.9616118030519047,0,14,0,1,4.174261765856483,15.342903589938254,0.10035200000000001,runs/slope10_seed7_oracle_dt.npz
10.0,8,noadapt,dt,1,0,10.13,nan,nan,20.0,13,0.6282034275949584,0.8517789456672356,0,14,0,1,5.879388668722982,8.744870003994293,0.10035200000000001,runs/slope10_seed8_noadapt_dt.npz
10.0,8,oracle,dt,1,0,10.13,nan,nan,20.0,13,0.7290317984413368,0.9121135744943666,0,14,0,1,8.303907567633656,14.958275017015279,0.10035200000000001,runs/slope10_seed8_oracle_dt.npz
10.0,9,noadapt,dt,1,0,10.07,nan,nan,20.0,13,0.800223411709631,0.914743327233344,0,14,0,1,2.7220571577905623,9.082571978448536,0.10035200000000001,runs/slope10_seed9_noadapt_dt.npz
10.0,9,oracle,dt,1,0,10.07,nan,nan,20.0,13,0.8270498015966149,0.9278189297407313,0,14,0,1,5.6478728605522095,15.389246301625485,0.10035200000000001,runs/slope10_seed9_oracle_dt.npz
10.0,10,noadapt,dt,1,0,9.98,nan,nan,20.0,13,0.4797168916691412,0.6626268136465541,0,14,0,1,8.528209844203914,8.465668564688873,0.10035200000000001,runs/slope10_seed10_noadapt_dt.npz
10.0,10,oracle,dt,1,0,9.98,nan,nan,20.0,13,0.6002361366610857,0.8840235129012544,0,14,0,1,13.323049285348995,14.151368924241565,0.10035200000000001,runs/slope10_seed10_oracle_dt.npz
10.0,11,noadapt,dt,1,1,10.09,29.78,nan,19.69,14,0.15205888418589547,0.7500143234030444,0,14,0,1,73.89467642356776,7.60022758941952,0.10035200000000001,runs/slope10_seed11_noadapt_dt.npz
10.0,11,oracle,dt,1,0,10.09,nan,nan,20.0,13,0.672929933000472,0.9202610095231154,0,14,0,1,11.510996476092808,14.685407516806299,0.10035200000000001,runs/slope10_seed11_oracle_dt.npz
10.0,12,noadapt,dt,1,0,9.93,nan,nan,20.0,13,0.5979327625112447,0.7850040347417362,0,14,0,1,9.67068322835074,8.619880608956795,0.10035200000000001,runs/slope10_seed12_noadapt_dt.npz
