method,seed,event,fell,n_win,dur,J,J_vx,J_pitch,J_roll,J_vy,mean_vx,const,V_old
aif,0,1,1,1000,10.0,4.708931083006851,6.065510420182254,0.01903524624856855,0.3805048085875206,1.7697197345942581,-0.3329113991620109,-1.7561193920114921,-2.0
aif,0,2,0,1000,10.0,8.26656281090457,9.975026461432313,0.0005058470542820915,0.047149894429468556,0.7302492763925457,-0.5951564693163164,-1.7561193920114921,-0.5251234334224586
aif,1,1,0,1000,10.0,1.8633367968243282,3.5935572307183805,0.002289751837841357,0.023609206279598283,3.250236667410295,-0.13960737780355287,-1.7561193920114921,-0.4084247429564504
aif,2,1,1,1000,10.0,1.3176411181193641,2.622354416661208,0.034854524912842626,0.4165515685568058,1.8420792193529896,0.06285883110071887,-1.7561193920114921,-2.0
aif,2,2,1,297,2.97,0.4582308355187723,1.065378313328096,0.08266679601802185,1.0663051181841467,1.3817858436690207,0.40018454217370864,-1.7561193920114921,-2.0
aif,2,3,1,367,3.67,0.3882591876963537,1.1022473025759971,0.11514575578617461,0.9269855213456744,1.3189563248758354,0.3507963946221296,-1.7561193920114921,-2.0
aif,2,4,0,1000,10.0,-1.2139545852117153,0.5065879460442785,0.0014465628762874634,0.03413029787921111,2.443695251635086,0.4488484795534187,-1.7561193920114921,0.43138397872157175
aif,3,1,1,933,9.33,-0.25775912476514495,1.0959393901195673,0.031004268467939224,0.3714166086588405,0.9329012922185566,0.3451471195172342,-1.7561193920114921,-2.0
aif,3,2,0,1000,10.0,2.4108506744143505,4.126349009477176,0.0004268572337528248,0.040194199714914454,2.2271433860968406,-0.18628948117822255,-1.7561193920114921,-0.49377709828139044
aif,4,1,0,1000,10.0,3.2805997935641,4.992922119671606,0.001179505113162099,0.04261756079082307,2.8382481204854537,-0.2433519864930555,-1.7561193920114921,-0.5225249530154248
aif,5,1,0,1000,10.0,6.787835856276335,8.506472835095382,0.000818797533620358,0.0366636156588245,1.9136588848955438,-0.5042114652618267,-1.7561193920114921,-0.47776761439546717
aif,6,1,0,1000,10.0,5.336148536527036,7.049634258504133,0.0007225811444800078,0.04191108888991481,1.1067748769019397,-0.414824343809874,-1.7561193920114921,-0.5124958910585302
aif,7,1,0,1000,10.0,-0.12256147345153257,1.59432410618716,0.0009675707881623754,0.038266241584637116,3.592733607928739,0.15926261003365316,-1.7561193920114921,-0.16981009081928
aif,8,1,0,1000,10.0,3.622524499142329,5.345505760874155,0.002355754131333426,0.03078237614833322,2.8006759008678417,-0.28346987220513015,-1.7561193920114921,-0.4547986914390873
aif,9,1,0,1000,10.0,-1.3539415509717618,0.3607880284556793,0.0005216667291299556,0.04086814585492093,0.7017181559304603,0.4531249401768447,-1.7561193920114921,0.4043663502522803
aif,10,1,1,417,4.17,0.5153352089948013,1.3827939917433376,0.05978204954534216,0.8288785597176138,1.4187954943364196,0.3570448757166013,-1.7561193920114921,-2.0
aif,10,2,0,1000,10.0,-1.3089088189962954,0.4079854990965086,0.0010279525029475414,0.038197121415740665,0.46120265662902754,0.5902094986902328,-1.7561193920114921,0.5135178557992098
aif,11,1,1,1000,10.0,6.2257489539366855,7.595036045499538,0.04933750346047531,0.3374947969881648,1.542269602028563,-0.4448345339537598,-1.7561193920114921,-2.0
