method,n_seeds,J_all,J_all_sem,J_surv,J_surv_sem,n_events,n_falls,prior,window
noadapt,100,1.82236053703364,0.0935025186245336,1.7862326989497517,0.27857378672855626,607,518,control,tail
grid,100,2.0361617269538836,0.20963269592710865,2.4338113952107254,0.3717629648481267,249,149,control,tail
bo,100,1.8518342104950707,0.19054111486155484,2.044878721283884,0.38485940046906697,258,159,control,tail
esc,100,1.7146713550254615,0.17329180015726373,1.4607169693111859,0.31493148799658416,293,194,control,tail
safegp,100,1.9932454998204523,0.3082534410532435,2.0290730857726165,0.34690238159994263,147,48,control,tail
aif,100,2.2077051956832956,0.30703221930726354,2.231599461444979,0.35007290422616866,141,41,control,tail
oracle,100,1.8567294775391958,0.2761670733472456,1.8567294775391958,0.2761670733472456,100,0,control,tail
