method,n_seeds,falls_per_bout,falls_sem,mean_tilt_surv,mean_dist_under_fault,mean_trial_dist
noadapt,100,5.18,0.1805602951980867,3.7845937463220305,8.31361976451368,22.942735956532974
grid,100,1.49,0.08102250591438445,3.7098888466780537,2.2199465823369873,8.241778688155767
bo,100,1.59,0.08539273500666901,3.7562151545745786,2.974159441631049,9.220930968623396
esc,100,1.94,0.05089105019449873,3.436052172474955,2.5928786969802458,9.61914287275544
safegp,100,0.48,0.07974707492814995,3.6887180364604837,1.14278654086351,4.7438910726719214
oracle,100,0.0,0.0,2.9316258324438476,-5.3759597868472015,-2.936107749715111
aif,100,0.41,0.07666666666666669,3.6990539153652593,0.7053719090474319,3.9045525742181413
