method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,F_FAST,STOP,b
noadapt,0,1,4.49,6.03,1.54,1,-2.0,10.190062099389325,4.190052095371931,0,6.0200000000000005,0.009999999999999787,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,2,38.480000000000004,39.62,1.1399999999999935,1,-2.0,10.844122507768875,4.2135449003987695,0,39.61,0.00999999999999801,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,3,60.67,62.04,1.3699999999999974,1,-2.0,10.081982888336197,3.9858186065478947,0,62.03,0.00999999999999801,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,4,83.67,85.56,1.8900000000000006,1,-2.0,10.254792115235118,-3.9709952443905436,0,85.55,0.010000000000005116,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,5,149.76,151.20000000000002,1.4400000000000261,1,-2.0,12.37274289057913,3.0961145215726233,0,151.19,0.010000000000019327,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,6,161.64000000000001,163.09,1.4499999999999886,1,-2.0,10.77673337440531,5.244827993852166,0,163.08,0.009999999999990905,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,7,186.78,188.24,1.460000000000008,1,-2.0,16.653211583281717,2.1224806101831817,0,188.23,0.010000000000019327,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,8,197.85,199.57,1.7199999999999989,1,-2.0,11.16891992572615,-4.153288819841457,0,199.56,0.009999999999990905,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,0,9,256.76,258.16,1.400000000000034,0,-0.5100814160907413,3.9294069733611448,-3.125111988277183,0,258.15,0.010000000000047748,33.04655693169715,7.607,13.0498,52.4044,0.5,10.0
noadapt,1,1,4.49,6.66,2.17,1,-2.0,13.578701263000658,2.9956217083804533,0,6.65,0.009999999999999787,15.756047021474174,7.607,13.0498,52.4044,0.5,10.0
noadapt,1,2,17.97,20.87,2.900000000000002,1,-2.0,9.977020169318134,-2.6384821589263865,0,20.86,0.010000000000001563,15.756047021474174,7.607,13.0498,52.4044,0.5,10.0
noadapt,1,3,89.84,91.33,1.4899999999999949,1,-2.0,10.263210849206965,-1.492154236565522,0,91.32000000000001,0.009999999999990905,15.756047021474174,7.607,13.0498,52.4044,0.5,10.0
noadapt,1,4,166.35,168.13,1.7800000000000011,1,-2.0,10.889513259456157,3.10682188531342,0,168.12,0.009999999999990905,15.756047021474174,7.607,13.0498,52.4044,0.5,10.0
noadapt,1,5,252.36,254.64000000000001,2.280000000000001,1,-2.0,12.957183824677664,3.276264405250682,0,254.63,0.010000000000019327,15.756047021474174,7.607,13.0498,52.4044,0.5,10.0
noadapt,1,6,264.15,266.98,2.830000000000041,0,-0.49434962015193185,3.836449565837244,-0.09302667096260109,0,266.97,0.009999999999990905,15.756047021474174,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,1,4.49,5.87,1.38,1,-2.0,10.360414825311167,4.180876170666038,0,5.86,0.009999999999999787,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,2,20.12,21.37,1.25,1,-2.0,10.088666041732232,-4.365103250532761,0,21.36,0.010000000000001563,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,3,77.65,78.52,0.8699999999999903,1,-2.0,11.003068011043435,-1.8236553018487598,0,78.51,0.009999999999990905,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,4,128.24,129.65,1.4099999999999966,1,-2.0,10.07942890239034,1.1284964423969592,0,129.64000000000001,0.009999999999990905,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,5,167.77,169.20000000000002,1.4300000000000068,1,-2.0,10.61598777044959,-4.566416896412762,0,169.19,0.010000000000019327,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,6,231.1,232.48000000000002,1.3800000000000239,1,-2.0,17.726043151527453,1.8162868156034673,0,232.47,0.010000000000019327,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,7,241.20000000000002,242.59,1.3899999999999864,1,-2.0,10.586707437564732,0.6367629516040356,0,242.58,0.009999999999990905,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,2,8,287.92,288.90000000000003,0.9800000000000182,0,0.22486470501490197,3.7958260019985284,4.624063021152409,0,288.89,0.010000000000047748,22.700314609508112,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,1,4.49,5.73,1.2400000000000002,1,-2.0,10.228324687672659,-0.9068578494559356,0,5.72,0.010000000000000675,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,2,46.72,47.59,0.8700000000000045,1,-2.0,10.289988871501187,-4.888446350159332,0,47.58,0.010000000000005116,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,3,104.84,105.56,0.7199999999999989,1,-2.0,10.559952239989915,3.2954790653303196,0,105.55,0.010000000000005116,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,4,134.01,134.13,0.12000000000000455,1,-2.0,10.039382208260255,4.611735176603671,0,134.12,0.009999999999990905,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,5,152.97,154.18,1.210000000000008,1,-2.0,21.111563401545016,1.2555588456392393,0,154.17000000000002,0.009999999999990905,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,6,164.12,165.15,1.0300000000000011,1,-2.0,10.841470079431222,-0.45379026356333085,0,165.14000000000001,0.009999999999990905,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,7,208.36,209.63,1.2699999999999818,1,-2.0,34.17984694362332,0.879358050724047,0,209.62,0.009999999999990905,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,8,213.96,214.52,0.5600000000000023,1,-2.0,10.414319541338225,2.4891990021910573,0,214.51,0.010000000000019327,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,9,250.84,252.17000000000002,1.3300000000000125,1,-2.0,12.089542102687656,3.4020511233572925,0,252.16,0.010000000000019327,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,10,263.52,264.77,1.25,1,-2.0,10.772405985378162,3.590495590158646,0,264.76,0.009999999999990905,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,3,11,281.6,282.68,1.079999999999984,0,-0.14194004555119732,3.730038061752842,5.332888145314982,0,282.67,0.009999999999990905,45.09639741665095,7.607,13.0498,52.4044,0.5,10.0
noadapt,4,1,4.49,5.75,1.2599999999999998,1,-2.0,10.769415634248164,-2.2354511970435276,0,5.74,0.009999999999999787,9.367360966918593,7.607,13.0498,52.4044,0.5,10.0
noadapt,4,2,55.32,56.19,0.8699999999999974,1,-2.0,10.449748678035794,-1.1740998267797187,0,56.18,0.00999999999999801,9.367360966918593,7.607,13.0498,52.4044,0.5,10.0
noadapt,4,3,198.47,199.34,0.8700000000000045,1,-2.0,10.214343631938075,0.40225185497221494,0,199.33,0.009999999999990905,9.367360966918593,7.607,13.0498,52.4044,0.5,10.0
noadapt,4,4,273.26,274.44,1.1800000000000068,0,-0.4425330117324945,3.34824875692791,4.443446387915603,0,274.43,0.009999999999990905,9.367360966918593,7.607,13.0498,52.4044,0.5,10.0
noadapt,5,1,4.49,5.9,1.4100000000000001,1,-2.0,10.833559885837214,5.952892494013231,0,5.89,0.010000000000000675,5.277826115580227,7.607,13.0498,52.4044,0.5,10.0
noadapt,5,2,101.13,102.05,0.9200000000000017,1,-2.0,10.543547675568956,-3.894940829879654,0,102.04,0.009999999999990905,5.277826115580227,7.607,13.0498,52.4044,0.5,10.0
noadapt,5,3,162.39000000000001,163.69,1.299999999999983,0,0.09263265109790103,3.6485084288953993,-1.8689067680592917,0,163.68,0.009999999999990905,5.277826115580227,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,1,4.49,5.73,1.2400000000000002,1,-2.0,10.405695524409621,1.109494043532179,0,5.72,0.010000000000000675,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,2,43.86,45.02,1.1600000000000037,1,-2.0,10.24375850375452,5.3687457314721,0,45.01,0.010000000000005116,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,3,136.48,137.24,0.7600000000000193,1,-2.0,12.424347303771436,2.7982865250494644,0,137.23,0.010000000000019327,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,4,147.22,148.46,1.240000000000009,1,-2.0,13.294014382495387,2.756207505976878,0,148.45000000000002,0.009999999999990905,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,5,159.75,160.49,0.7400000000000091,1,-2.0,10.273521277469975,-4.170279432127991,0,160.48,0.010000000000019327,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,6,207.71,208.95000000000002,1.240000000000009,1,-2.0,10.480947360583476,4.81517509915502,0,208.94,0.010000000000019327,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,7,227.97,229.16,1.1899999999999977,1,-2.0,10.356675997655582,3.1077526980000343,0,229.15,0.009999999999990905,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,6,8,260.44,261.28000000000003,0.8400000000000318,0,-0.5028808953803363,3.8549982960403257,-0.4170815539996511,0,261.27,0.010000000000047748,33.12381103827542,7.607,13.0498,52.4044,0.5,10.0
noadapt,7,1,4.49,5.74,1.25,1,-2.0,10.499807694294077,-4.569111213978231,0,5.73,0.009999999999999787,9.228024662726998,7.607,13.0498,52.4044,0.5,10.0
noadapt,7,2,70.27,71.04,0.7700000000000102,1,-2.0,10.185361919149079,-1.861933591878094,0,71.03,0.010000000000005116,9.228024662726998,7.607,13.0498,52.4044,0.5,10.0
noadapt,7,3,116.87,118.07000000000001,1.2000000000000028,1,-2.0,10.22932281020526,4.592144061321541,0,118.06,0.010000000000005116,9.228024662726998,7.607,13.0498,52.4044,0.5,10.0
noadapt,7,4,296.94,298.09000000000003,1.150000000000034,0,0.09903901783799884,5.250784551239489,1.3822372497347972,0,298.08,0.010000000000047748,9.228024662726998,7.607,13.0498,52.4044,0.5,10.0
noadapt,8,1,4.49,5.76,1.2699999999999996,1,-2.0,10.318174110361142,4.386638343656864,0,5.75,0.009999999999999787,19.273889881903358,7.607,13.0498,52.4044,0.5,10.0
noadapt,8,2,37.99,39.050000000000004,1.0600000000000023,1,-2.0,10.40306446137014,4.967848155880505,0,39.04,0.010000000000005116,19.273889881903358,7.607,13.0498,52.4044,0.5,10.0
noadapt,8,3,62.27,63.46,1.1899999999999977,1,-2.0,10.312567577567084,-3.0957034625112065,0,63.45,0.00999999999999801,19.273889881903358,7.607,13.0498,52.4044,0.5,10.0
noadapt,8,4,129.12,129.98,0.8599999999999852,1,-2.0,10.200116978447893,-3.2309980256725623,0,129.97,0.009999999999990905,19.273889881903358,7.607,13.0498,52.4044,0.5,10.0
noadapt,8,5,178.33,179.4,1.0699999999999932,1,-2.0,13.65657674505992,2.6158851159806034,0,179.39000000000001,0.009999999999990905,19.273889881903358,7.607,13.0498,52.4044,0.5,10.0
noadapt,8,6,189.31,190.62,1.3100000000000023,0,-0.4583499904963941,3.482521642834802,-1.0410829624011164,0,190.61,0.009999999999990905,19.273889881903358,7.607,13.0498,52.4044,0.5,10.0
noadapt,9,1,4.49,5.7700000000000005,1.2800000000000002,1,-2.0,10.55468063228598,5.560753049079083,0,5.76,0.010000000000000675,28.70040307639704,7.607,13.0498,52.4044,0.5,10.0
noadapt,9,2,32.12,33.32,1.2000000000000028,1,-2.0,10.678830397381411,2.9361923842033377,0,33.31,0.00999999999999801,28.70040307639704,7.607,13.0498,52.4044,0.5,10.0
noadapt,9,3,204.03,205.27,1.240000000000009,1,-2.0,11.619201207950695,3.465266772897838,0,205.26,0.010000000000019327,28.70040307639704,7.607,13.0498,52.4044,0.5,10.0
noadapt,9,4,221.76,222.52,0.7600000000000193,1,-2.0,10.178109845453095,4.6785737679531785,0,222.51,0.010000000000019327,28.70040307639704,7.607,13.0498,52.4044,0.5,10.0
noadapt,9,5,244.39000000000001,245.69,1.299999999999983,0,-0.4590630507044363,3.5023901591184825,-3.306662666132805,0,245.68,0.009999999999990905,28.70040307639704,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,1,4.49,5.63,1.1399999999999997,1,-2.0,10.408971289987614,4.274858066151719,0,5.62,0.009999999999999787,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,2,19.330000000000002,20.57,1.2399999999999984,1,-2.0,10.841707590030097,3.7722273897528673,0,20.56,0.010000000000001563,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,3,34.84,36.08,1.2399999999999949,1,-2.0,10.336907196651294,4.920834018309236,0,36.07,0.00999999999999801,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,4,55.46,56.6,1.1400000000000006,1,-2.0,11.318189333780664,3.76833480600445,0,56.59,0.00999999999999801,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,5,93.03,94.28,1.25,1,-2.0,10.713211895234267,1.5845001042268692,0,94.27,0.010000000000005116,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,6,133.64000000000001,134.89000000000001,1.25,1,-2.0,10.656130380981516,-1.550740647511212,0,134.88,0.010000000000019327,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,7,250.6,251.58,0.9800000000000182,1,-2.0,10.5522466766942,4.373736166386124,0,251.57,0.010000000000019327,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,10,8,272.03000000000003,272.8,0.7699999999999818,0,-0.5592890368873314,4.308946138055822,2.799581242602855,0,272.79,0.009999999999990905,44.002323287341156,7.607,13.0498,52.4044,0.5,10.0
noadapt,11,1,4.49,5.75,1.2599999999999998,1,-2.0,10.64526973688921,3.9681777925432162,0,5.74,0.009999999999999787,18.77219443857633,7.607,13.0498,52.4044,0.5,10.0
noadapt,11,2,35.35,36.27,0.9200000000000017,1,-2.0,10.496851748414189,2.055770911423961,0,36.26,0.010000000000005116,18.77219443857633,7.607,13.0498,52.4044,0.5,10.0
noadapt,11,3,146.63,147.87,1.240000000000009,1,-2.0,10.300079569273846,-0.705283755209873,0,147.86,0.009999999999990905,18.77219443857633,7.607,13.0498,52.4044,0.5,10.0
noadapt,11,4,192.17000000000002,193.23000000000002,1.0600000000000023,1,-2.0,14.588601861475835,2.4427515756881917,0,193.22,0.010000000000019327,18.77219443857633,7.607,13.0498,52.4044,0.5,10.0
noadapt,11,5,204.34,205.66,1.3199999999999932,1,-2.0,10.549938777168379,-4.394768186866935,0,205.65,0.009999999999990905,18.77219443857633,7.607,13.0498,52.4044,0.5,10.0
noadapt,11,6,263.98,265.07,1.089999999999975,0,-0.44553460432522557,3.353341520211513,1.3353338537470982,0,265.06,0.009999999999990905,18.77219443857633,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,1,4.49,5.74,1.25,1,-2.0,10.461300477583213,-2.213660969373788,0,5.73,0.009999999999999787,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,2,74.48,75.65,1.1700000000000017,1,-2.0,10.50783950748866,4.301874304806027,0,75.64,0.010000000000005116,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,3,90.64,91.64,1.0,1,-2.0,10.63867725415924,3.549338866367223,0,91.63,0.010000000000005116,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,4,107.85000000000001,108.62,0.769999999999996,1,-2.0,10.747281006708787,2.3133122865473563,0,108.61,0.010000000000005116,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,5,147.01,148.20000000000002,1.1900000000000261,1,-2.0,11.23080614447422,3.7141326899542157,0,148.19,0.010000000000019327,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,6,159.92000000000002,161.17000000000002,1.25,1,-2.0,10.857415537400158,0.14261072003022335,0,161.16,0.010000000000019327,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,7,203.73000000000002,204.63,0.8999999999999773,1,-2.0,14.196104671958116,2.0440387593693963,0,204.62,0.009999999999990905,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,8,213.27,214.62,1.3499999999999943,1,-2.0,10.37365309004158,-2.2361816158800103,0,214.61,0.009999999999990905,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,12,9,281.69,282.92,1.2300000000000182,0,-0.0733470566540605,3.8393212540326656,5.8814588009278275,0,282.91,0.009999999999990905,35.78467538466361,7.607,13.0498,52.4044,0.5,10.0
noadapt,13,1,4.49,5.78,1.29,1,-2.0,10.240566007022858,-2.234476469521956,0,5.7700000000000005,0.009999999999999787,5.089351510352326,7.607,13.0498,52.4044,0.5,10.0
noadapt,13,2,53.64,54.93,1.2899999999999991,1,-2.0,10.831367427924919,-3.7028345313473374,0,54.92,0.00999999999999801,5.089351510352326,7.607,13.0498,52.4044,0.5,10.0
noadapt,13,3,198.06,198.97,0.9099999999999966,0,-0.46400041947256304,3.5138423309736133,1.4017518507365039,0,198.96,0.009999999999990905,5.089351510352326,7.607,13.0498,52.4044,0.5,10.0
noadapt,14,1,4.49,5.75,1.2599999999999998,1,-2.0,10.343669883083578,5.484054547509382,0,5.74,0.009999999999999787,23.657450863481618,7.607,13.0498,52.4044,0.5,10.0
noadapt,14,2,30.89,31.75,0.8599999999999994,1,-2.0,10.280344423176114,-0.612879505385008,0,31.740000000000002,0.00999999999999801,23.657450863481618,7.607,13.0498,52.4044,0.5,10.0
noadapt,14,3,74.49,74.71000000000001,0.22000000000001307,1,-2.0,10.70661215073319,-1.5224060708332061,0,74.7,0.010000000000005116,23.657450863481618,7.607,13.0498,52.4044,0.5,10.0
noadapt,14,4,115.03,116.29,1.2600000000000051,1,-2.0,10.380444482807048,4.134441304691276,0,116.28,0.010000000000005116,23.657450863481618,7.607,13.0498,52.4044,0.5,10.0
noadapt,14,5,138.42000000000002,139.66,1.2399999999999807,0,0.015399145822797944,3.675322391617462,5.014204035022395,0,139.65,0.009999999999990905,23.657450863481618,7.607,13.0498,52.4044,0.5,10.0
noadapt,15,1,4.49,5.97,1.4799999999999995,1,-2.0,14.303981080263679,2.7086833282738385,0,5.96,0.009999999999999787,12.41459167015897,7.607,13.0498,52.4044,0.5,10.0
noadapt,15,2,17.22,18.69,1.4700000000000024,1,-2.0,11.081040679391498,4.783326463164169,0,18.68,0.010000000000001563,12.41459167015897,7.607,13.0498,52.4044,0.5,10.0
noadapt,15,3,45.410000000000004,47.550000000000004,2.1400000000000006,1,-2.0,10.371048278299453,1.4452428876175212,0,47.54,0.010000000000005116,12.41459167015897,7.607,13.0498,52.4044,0.5,10.0
noadapt,15,4,127.03,128.39000000000001,1.3600000000000136,1,-2.0,10.15136836596128,-4.391338308166908,0,128.38,0.010000000000019327,12.41459167015897,7.607,13.0498,52.4044,0.5,10.0
noadapt,15,5,184.1,185.79,1.6899999999999977,0,-0.493246253108132,3.786783289748117,-4.813477786239112,0,185.78,0.009999999999990905,12.41459167015897,7.607,13.0498,52.4044,0.5,10.0
