optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,couplinggain,wswing,wstance,FFAST,STOPGAIN,hipamplitude,kneeamplitude,b
MARXEFE,3,1,-0.8521878165332665,7.610590459158514,1.985234538081244,1.6195302787264187,0.2364998632679145,1,39.59150268887531,21.477225126716075,33.25982390241381,0.0,4.062036991119385,4.062036991119385,8.056476806188492,17.18216335759642,17.384697378905294,41.33695197030865,0.27531145094238324,0.22489109508018182,0.7493889225835384,5.060465727638264
MARXEFE,3,2,-0.6638939380127252,4.940770371207483,2.633406022477775,2.275960468729543,0.4086977609835634,1,31.21848142195234,14.087911148338444,27.85900826966575,0.0,6.02505898475647,6.02505898475647,7.862311167322633,17.214966259310767,17.498594980157147,41.53895937099041,0.27303430497634573,0.2225172492259029,0.7454259237087851,5.766019387839094
MARXEFE,3,3,1.3372429783037016,1.7028499705665991,5.164506440751715,0.3045798096537739,1.1891969817712886,0,11.95989266554119,10.131337255666878,6.3557090857906875,0.0,6.178182601928711,6.178182601928711,7.9795340610702326,18.18412906264385,16.814386047655532,40.668436396677876,0.27614957661797757,0.22512853311310205,0.7501155064416,5.111626615680627
MARXEFE,3,4,-50.0,200.0,0.07396507104722296,0.645401439030285,0.0,1,1000.0,1000.0,1000.0,0.0,1.5180745124816895,1.5180745124816895,7.130050248373852,18.011027298552065,18.01107335925797,42.343029721938294,0.27869422357732754,0.22204129319006946,0.7490229844689497,4.869937591394134
MARXEFE,3,5,-0.6069914135364153,4.746788751962085,2.478734196890884,2.697311543479678,0.4146445973384276,1,28.45091862001585,15.199189067508675,24.05076759716599,0.0,6.0669333934783936,6.0669333934783936,7.922607023892425,17.44371564862547,16.81107104048956,42.728153786543444,0.27673826987729816,0.2225498546036101,0.7473991614663256,5.152132793252927
MARXEFE,3,6,-0.3261222846658476,2.735387781687908,3.8389631732707397,2.7101348291914285,0.7621742999363562,0,15.21246483351766,10.38283761932101,11.118262871592123,0.0,6.140360355377197,6.140360355377197,8.383525936563112,16.966415873052686,18.41142744218098,40.408347202923,0.27390872055688636,0.22375122090443894,0.7479114386479125,4.420425074481503
MARXEFE,3,7,-0.5662415338868997,2.5606942280705076,2.4090748262151647,0.7548867478796369,0.6565764618904529,1,39.35627426705341,19.175863993188802,34.368627617323554,0.0,4.174801349639893,4.174801349639893,7.999424749444811,16.697766673783725,17.08274835688728,44.31181298976397,0.2736753682453634,0.22268487197363473,0.7489052401856516,4.589247284256787
MARXEFE,3,8,-2.4405196260178466,200.0,1.21434034185833,1.4494565628784533,-0.20974959699481457,1,42.091850544350145,24.189198781513078,34.447155826807474,0.0,5.371744632720947,5.371744632720947,8.098815642356065,17.844353450016907,17.275182703520404,41.25430732470998,0.2749685186791453,0.22033324726689238,0.7439032090407449,4.921843621251383
MARXEFE,3,9,-0.4631223836772876,2.440910896667731,4.0457942341471425,2.365136300018835,0.7930179379975453,0,22.17985887585163,12.392327993217528,18.395008743167576,0.0,6.080645322799683,6.080645322799683,8.041506169149198,16.893107850798597,18.16798502039856,41.99252236186162,0.2701487649171482,0.2236055296321073,0.7225631852168447,5.705237848614327
MARXEFE,3,10,-0.7091679558532501,5.065800763959022,2.5904676502252317,1.8074772874958114,0.385075845697666,1,33.481588046980285,17.642781419197355,28.45608901346279,0.0,6.008959770202637,6.008959770202637,7.800230266032001,16.496025938738605,17.463039817824853,40.21520621468632,0.276256838440955,0.22002767847958063,0.789662268494846,5.366535020780732
