seed,keep_CoT,keep_J,keep_J_track,keep_dist,keep_fell,keep_mean_vx,keep_rms_pitch,keep_rms_roll,keep_t_fall,prefix_gap,reason,switch_CoT,switch_J,switch_J_track,switch_dist,switch_fast_CoT,switch_fast_J,switch_fast_J_track,switch_fast_dist,switch_fast_fell,switch_fast_mean_vx,switch_fast_rms_pitch,switch_fast_rms_roll,switch_fast_t_fall,switch_fell,switch_mean_vx,switch_rms_pitch,switch_rms_roll,switch_t_fall,valid,y10
0,1.6675344497001205,7.230282117113639,8.064049341963699,4.604322357355166,False,0.46043223573551517,1.7594945523447043,10.262415059745843,nan,0.0,,2.0505227250666525,6.805042720471212,7.830304083004538,4.736746731053243,2.5956963425506956,4.4089969152913895,5.706845086566737,6.298365878418796,False,0.6298365878418783,2.2906089989168947,10.770803849424897,nan,False,0.47367467310532335,2.2867036784720756,10.311933929699359,nan,1,5.120135497794836
1,1.8804230453500865,6.166399208739821,7.1066107314148645,4.269742536963877,False,0.42697425369638914,3.0746110434145435,10.436451042590445,nan,0.0,,2.769735454106257,-50.0,4.770128231600631,3.1002629331322353,2.834308113145263,4.767014350405272,6.184168406977904,5.772494510665219,False,0.5772494510665219,4.973707191851405,10.8329824064189,nan,True,0.3291149610543774,12.489957073014715,11.696303660651289,19.41,1,5.140617001320933
2,1.7501191343886653,6.896948864300664,7.772008431494997,4.478941625239373,False,0.447894162523937,2.4461888991827645,10.19684527239748,nan,0.0,,2.1027262391895847,6.657488584969778,7.70885170456457,4.720402823587006,2.7021564376256566,4.689761021821667,6.0408392406344955,6.039418177103353,False,0.6039418177103355,4.452120913382542,10.796358866465381,nan,False,0.4720402823586993,2.4481828012257414,10.279793343988151,nan,1,5.146322101003657
3,1.7539305594944008,6.823642633987493,7.700607913734694,4.48772877769743,False,0.4487728777697422,2.8773396599977556,10.289368094331257,nan,0.0,,2.1205762204008454,6.487406898052807,7.54769500825323,4.676787984540236,2.62001849431414,4.6364327375379,5.94644198469497,6.22461630461724,False,0.6224616304617211,3.000873656927505,10.789320687808658,nan,False,0.46767879845402266,3.2385961745220375,10.451210088065048,nan,1,5.1217124323453715
4,2.931839889899298,-50.0,3.2147883736683696,1.9694243608261424,True,0.2837787263438231,14.322590761044477,10.923870686237086,16.93,0.0,,2.0979564569042135,6.714473883916313,7.76345211236842,4.77469139729646,2.5571194437466427,4.5042073005158265,5.782767022389148,6.353132234795219,False,0.6353132234795238,2.1314948537185026,10.671725928394062,nan,False,0.47746913972964616,1.6605571651175515,10.395989671208806,nan,1,5.143629519783715
5,3.060550323824874,-50.0,2.8561393548643736,1.698991477677664,True,0.2578135777963054,15.267780071898066,10.581823728906366,16.580000000000002,0.0,,2.044785985982507,6.926719709850572,7.949112702841826,4.783385244392302,2.787811299075941,4.795832353018167,6.189738002556137,5.845267998047942,False,0.584526799804796,4.497246214209197,10.634944059862564,nan,False,0.4783385244392305,2.104124591715352,10.0913583489727,nan,1,5.119747651656039
6,1.7648080927735574,6.760602104693581,7.64300615108036,4.455277414693311,False,0.4455277414693285,3.0939230400153295,10.154325618696996,nan,0.0,,2.055669222823869,6.909468341654459,7.937302953066394,4.771350048758066,2.4276630888308484,4.223352883607696,5.43718442802312,6.616752482220514,False,0.6616752482220507,1.5641551459902272,10.58771729913196,nan,False,0.47713500487580607,2.499720355443589,10.256435335580038,nan,1,5.146827754864536
7,1.6883938537162406,7.254390473236211,8.098587400094331,4.580935681710595,False,0.45809356817106067,1.819336799671706,10.277049365331372,nan,0.0,,2.0701463429915576,6.9328499609812555,7.9679231324770345,4.837813975797027,3.7643804573346555,-50.0,4.467189216916313,3.5795182011781685,True,0.4291988250813125,14.102028873311468,11.283323654605555,18.330000000000002,False,0.4837813975797014,1.3119165601713578,10.378762596190624,nan,1,5.116177474604694
8,3.312029529378765,-50.0,2.64160169751862,1.5826172698321122,True,0.2504141249734336,16.354840156411242,12.117999052429345,16.31,0.0,,2.0017743535547554,6.92619750688838,7.927084683665758,4.844597398658495,2.6892359419145,4.3266905176821755,5.671308488639426,6.144659027346185,False,0.6144659027346157,2.876039106756358,11.299322827427607,nan,False,0.48445973986584934,1.5771623468810594,10.45009018220462,nan,1,5.063542584976949
9,1.688052083739625,7.204781644410094,8.048807686279906,4.581286876404881,False,0.45812868764048836,1.8026993923783612,10.268439748251774,nan,0.0,,1.9637563296755756,7.238752952601478,8.220631117439266,4.8916438238493685,2.467053748000723,4.306952050117561,5.540478924117922,6.532987436781247,False,0.6532987436781259,1.9287246948197982,10.593473023732699,nan,False,0.489164382384937,1.1588903071469427,10.280470734035141,nan,1,5.1159784574685325
10,1.8272821416357392,6.546823100770444,7.460464171588314,4.400376429662457,False,0.440037642966248,2.5608968613460648,10.362159813446382,nan,0.0,,2.0384315786312324,6.941296689574911,7.960512478890528,4.814406023646909,2.7288773290460044,4.683634147688766,6.0480728122117675,5.935543649740651,False,0.5935543649740652,4.488715280770911,10.891341514629945,nan,False,0.48144060236469144,1.6302892694158644,10.32618534534749,nan,1,5.1291354681707855
11,2.7950669669971258,-50.0,3.047554203869329,1.904188037429856,True,0.2916061313062555,15.077824874450323,11.046641823556932,16.52,0.0,,2.0370851936922234,6.979659707065698,7.99820230391181,4.813373425597568,2.587248537170913,4.589389824683171,5.883014093268628,6.272384782539126,False,0.6272384782539145,2.7742185259335828,10.67298343578973,nan,False,0.4813373425597571,1.922528596312812,10.231197915564247,nan,1,5.127478232637404
12,1.7715303876086568,6.833526979729214,7.7192921735335425,4.446044108557236,False,0.4446044108557233,2.7486685260869774,10.408493891839434,nan,0.0,,2.0656939659069566,6.717434947828018,7.750281930781496,4.782320645084458,2.625775968512608,4.67756150834904,5.990449492605344,6.211712643436248,False,0.6211712643436236,3.054280969316032,10.685736411224266,nan,False,0.47823206450844596,2.0614031729846483,10.42843856257979,nan,1,5.061662052719442
13,1.8421694995708768,6.443670943357866,7.364755693143304,4.362664314655006,False,0.4362664314655001,2.698736158665207,10.470321160739491,nan,0.0,,2.0081298796422846,6.993941200121069,7.998006139942211,4.829995178181421,2.5776903709129044,4.358405436578999,5.647250622035451,6.328228256058096,False,0.6328228256058094,1.8577856402571602,10.854690565521391,nan,False,0.4829995178181423,1.4232013943490698,10.367098860648055,nan,1,5.112781158438898
14,1.748070433193739,7.048615651815042,7.922650868411911,4.524226015086322,False,0.4524226015086335,1.6763556133146207,10.311874980251224,nan,0.0,,2.0536294774806465,7.053528726768335,8.080343465508658,4.808449610165123,2.6933334440692556,4.508597427572048,5.8552641496066755,6.027596332808896,False,0.6027596332808893,4.121696047556878,10.614698015628795,nan,False,0.48084496101651,1.2132474469489563,10.401227929203229,nan,1,5.1145598931215295
15,1.7767296880992383,6.779864033613276,7.668228877662894,4.469233052647496,False,0.44692330526474877,2.8282826016787195,10.270791795192848,nan,0.0,,2.1160264780847653,6.333766693764618,7.391779932807,4.61398188338665,2.555050403713161,4.309472288383699,5.58699749024028,6.419431282359291,False,0.6419431282359285,1.5841958839189036,10.748518521434887,nan,False,0.46139818833866253,3.001903320266821,10.406589053655274,nan,1,5.115085544379318
16,1.6988866318248226,7.138177425128685,7.987620741041097,4.589146775815178,False,0.45891467758151705,1.4872782502774822,10.009300530282506,nan,0.0,,1.9944983324946601,7.1266091314730415,8.123858297720371,4.852006404114042,2.5071288701608134,4.56104787761444,5.814612312694847,6.437212353028706,False,0.6437212353028706,2.1125529727477836,10.44589948191774,nan,False,0.4852006404114043,0.8868604615053544,10.055845186154157,nan,1,5.114533238828897
17,1.7141513029357216,7.135902127216602,7.992977778684463,4.524521985413483,False,0.4524521985413511,1.5699339108823909,10.28223383965132,nan,0.0,,2.0313468179284246,7.014457824492211,8.030131233456423,4.8091366284299175,2.638952228916314,4.617251546043363,5.93672766050152,6.180100938047366,False,0.6180100938047369,2.6145605260762186,10.735060259158283,nan,False,0.4809136628429925,1.5734786829226473,10.305690023485312,nan,1,5.149105413208628
18,1.674277822097451,7.262479379014296,8.099618290063022,4.583043062120546,False,0.45830430621205576,1.2518467127552988,10.225795094992996,nan,0.0,,2.0660862253212557,6.959104623037902,7.99214773569853,4.790016266588533,4.151696042805079,-50.0,3.655547285050685,2.6763281758005535,True,0.38508319076267067,15.574534424224897,11.16028623609557,16.94,False,0.47900162665885243,2.4242780378024182,10.220521272913528,nan,1,5.130727385867781
