optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,couplinggain,wswing,wstance,FFAST,STOPGAIN,hipamplitude,kneeamplitude,b
MARXEFE,8,1,-0.5241987235885407,2.2433538896196206,3.582535712698277,1.078110631764974,0.7499976077730873,1,25.319845932329432,14.931324440918067,20.448719971600717,0.0,5.212686777114868,5.212686777114868,8.005579215510414,17.841515929342883,17.223328016992312,40.416081699029625,0.2759981121107722,0.2252477491878077,0.7515488169646849,5.325033690556485
MARXEFE,8,2,-0.15487024864023208,1.7676155172439807,4.1916392530419815,1.2556154308991185,0.9576319530154196,0,7.324594108496433,3.4155448578163394,6.479485487171418,0.0,6.015738010406494,6.015738010406494,7.656462694396437,17.359162206368254,17.37908820602046,41.806367320072624,0.2723903969087918,0.2239362892976985,0.7522524231610922,5.60187870998555
MARXEFE,8,3,-0.12438129907620872,1.6189039902400701,4.518230999452813,2.8232482053688064,1.01427822545878,0,5.571503359148567,2.751288588138058,4.844797290474087,0.0,6.083796977996826,6.083796977996826,7.478866639767666,18.46054014008123,17.067932276623967,41.84908598043722,0.2736691679829732,0.22477912522130702,0.7503621836585233,4.695825807146736
MARXEFE,8,4,-0.04785440126336772,1.1840658095890222,5.050896654565803,2.547715509086105,1.2254691599495569,0,1.9190937518984563,1.1402908165587013,1.543585981488425,0.0,5.990156888961792,5.990156888961792,7.7664522114287005,17.21873015651154,18.840434452655884,39.506585610670136,0.2751020885052651,0.22460873756964955,0.7500594382886109,4.781151858705642
MARXEFE,8,5,-0.14224923735784878,1.7123846204404225,4.4501323515763245,0.9746397615406073,1.0176044092054148,0,6.685971233867668,4.0138620141532755,5.347066772674842,0.0,6.004553318023682,6.004553318023682,7.2196775527147565,17.45761585887201,17.901570869520288,41.883956539303426,0.27508856206984517,0.22531472008474354,0.747565394672828,5.562755078523761
MARXEFE,8,6,-0.09060595090632928,1.288809327618248,5.169309408765332,1.3837135447667583,1.2546884925012596,0,4.10739579847286,2.0132302446795376,3.5801681842086786,0.0,6.035971164703369,6.035971164703369,7.981420631160477,16.395355720366464,17.4293753754276,43.84581587483507,0.2765371236878434,0.22465713928273046,0.7528935007774114,4.560192060701067
MARXEFE,8,7,-0.5405947499711811,1.4825047531881284,3.047754277678988,1.522677259851361,1.0084284286970735,1,26.437971943335423,6.146724642101688,25.713501057825066,0.0,4.683297872543335,4.683297872543335,7.601206978405594,17.61171101460743,17.6247727684178,41.958567484192436,0.2707147772346376,0.22602945754961679,0.7506789286106813,4.714596989084259
MARXEFE,8,8,-0.08310476546260401,1.287657704655428,5.369336244745991,1.9158729646269448,1.2554899792266803,0,3.6402191681890517,1.8155397857425777,3.155156236834681,0.0,5.937135219573975,5.937135219573975,7.729658244050593,16.918103355772352,16.910390315265502,40.27371927506403,0.29148170784980376,0.22398208804160635,0.7909968005344932,5.058592042515083
MARXEFE,8,9,-0.5173175612167913,2.212139555070009,4.180813429458713,0.5555209797777925,0.8703662780508052,1,24.988519776655526,7.8001530260410545,23.739918563437552,0.0,5.9161155223846436,5.9161155223846436,8.738687185765412,17.4577121188338,17.091495090433668,39.87033478398543,0.25943374115623696,0.22427707179157494,0.7429916064789356,5.346004286109242
MARXEFE,8,10,-0.06817744044776489,1.3654246783726856,4.849933953290506,0.8790750671857661,1.1939203115740091,0,6.779934634879057,2.9899237337395745,6.08505297591183,0.0,5.866835117340088,5.866835117340088,8.054966444138303,18.293179871219724,17.167076905366507,40.312583175850314,0.28407649469071594,0.22469571092209223,0.7494953355001724,4.223502666626091
