optimizer,seed,trial,J,CoT,forwarddistance,lateraldrift,meanvx,fell,stabilityindex,rmsrolldeg,rmspitchdeg,opttimesec,simtimesec,totaltimesec,couplinggain,wswing,wstance,FFAST,STOPGAIN,hipamplitude,kneeamplitude,b
BO,1,1,-50.0,1000.0,0.160360936276148,0.788127233361119,0.0,1,1000.0,1000.0,1000.0,0.0,0.07634305953979492,0.07634305953979492,8.094572997602054,24.25695544488903,12.162394190794506,58.202730649803534,0.19032415340471848,0.2058316122431439,0.9138512969102208,4.151071450054697
BO,1,2,-0.4558953099838746,1.3801142383536815,3.3819103056260507,0.6763262609024839,0.9296272501872341,1,22.625190577493797,7.030780842395972,21.50505450851292,0.0,0.1683957576751709,0.1683957576751709,8.396749501384477,10.413386698646026,21.3026966301221,43.83501596267474,0.19837927242459147,0.29710717585710106,0.6515974146458225,4.5896291058584495
BO,1,3,-0.514281832405179,1.7203223079464662,2.661475625126512,0.9033244602282032,0.8658093707649461,1,25.179654515846217,9.329900173442343,23.38734624302157,0.0,0.14555597305297852,0.14555597305297852,5.072333577977318,16.046694796706937,13.051828610142245,34.18096691546474,0.38766410268352364,0.17010218949650996,0.7425954872158176,9.809298278032262
BO,1,4,1.5051027007609543,1.4304426145447253,3.529245435549149,0.039129390592878524,1.892988164565745,1,32.25971629382557,19.249292378021856,25.887333549509197,0.0,0.12912535667419434,0.12912535667419434,11.693257549310294,20.871849111603005,18.118402833211512,34.691192141587976,0.1222934039488071,0.3424813533040331,0.7580342927739394,1.2470695634606264
BO,1,5,-50.0,1000.0,2.017938339165674,0.8933167773818297,0.0,1,72.08899013940099,2.686211407010668,72.03892536396903,0.0,0.0946950912475586,0.0946950912475586,8.987918044300002,21.65024671513447,19.195049515795606,57.105419667681595,0.06781679449889129,0.2321473158150054,0.7296679414427019,0.7172608335837685
BO,1,6,-0.9864478647117294,11.31895860787581,2.054625852439107,0.35686463926919926,0.2381712845691089,1,44.79721476890153,29.4647241928637,33.74345090961448,0.7484781742095947,0.13460087776184082,0.8830790519714355,10.502644733670973,14.660540234865811,19.718651884953168,33.30412466330927,0.18174742769162477,0.34515533833688183,0.6994204587452268,3.326636390721951
BO,1,7,-0.7678938644610187,1.8211508651013388,2.6863071069532505,0.894119884342097,0.9398515629998758,1,37.666232877010394,12.29699026007646,35.60237533773222,0.4331338405609131,0.12080812454223633,0.5539419651031494,7.65700248394708,13.496062697339783,17.380563661628447,33.30856602534733,0.28853747684958186,0.264337618069612,0.6939426100107913,6.769212430358333
BO,1,8,-0.5810518195817497,3.287463065683193,2.3364334017354826,3.0994189223104494,0.7616223162565093,1,27.7376057528142,7.4777665357702885,26.71063047805247,0.3135366439819336,0.14829349517822266,0.46183013916015625,10.028179681325447,20.01739554550732,16.29200497561194,25.518179238849097,0.22463023830519374,0.3008975080851319,0.7332477291451623,4.125886633712039
BO,1,9,-0.1281873504830309,1.4820416118061919,5.16098350213873,2.610585355471997,1.062052441634649,0,5.816550879429068,2.5899301981776053,5.208121129693008,0.3034677505493164,0.21328282356262207,0.5167505741119385,8.454880783405642,15.476056705036468,21.375965796031075,28.438660514660917,0.1900757463753816,0.2629057372994099,0.5619727744719716,3.723764878272395
BO,1,10,-0.9628295555429536,1.5444402960812689,1.968879578614968,0.7937015253270152,1.2764193727104172,1,47.52370165871543,16.872215472089888,44.42781296001371,0.19499683380126953,0.11995863914489746,0.314955472946167,10.37536739208332,14.328550704497061,21.661177535995044,29.27956606983343,0.15057497254202795,0.24283210394829463,0.7841904006545777,5.940398424665286
